 ,Total Compensation, Total Expenses, Total Contributions, Totals
NORTHWEST MARINE TRADE ASSN, 0.00, 0.00, 0.00, 0.00
NORTHWEST MOTORCYCLE ASSN, 0.00, 0.00, 0.00, 0.00
NORTHWEST MUSEUM OF ARTS & CULTURE FOUNDATION, 0.00, 0.00, 0.00, 0.00
NORTHWEST NATURAL GAS, 0.00, 0.00, 0.00, 0.00
NORTHWEST POLICY GROUP*, 0.00, 0.00, 0.00, 0.00
NORTHWEST PULP & PAPER ASSN, 0.00, 0.00, 0.00, 0.00
NORTHWEST SUSTAINABLE ENERGY FOR ECONOMIC DEVELOPMENT, 0.00, 0.00, 0.00, 0.00
NORTHWEST YACHT BROKERS ASSN, 0.00, 0.00, 0.00, 0.00
NORTHWESTERN PSYCHOANALYTIC SOCIETY & INSTITUTE, 0.00, 0.00, 0.00, 0.00
NOVARTIS PHARMACEUTICALS, 0.00, 0.00, 0.00, 0.00
NOVO NORDISK INC, 0.00, 0.00, 0.00, 0.00
NUCOR STEEL SEATTLE INC, 0.00, 0.00, 0.00, 0.00
NURSE FAMILY PARTNERSHIP, 0.00, 0.00, 0.00, 0.00
NW DAIRY ASSN & DARIGOLD INC, 0.00, 0.00, 0.00, 0.00
NW ENERGY EFFICIENCY CNCL, 0.00, 0.00, 0.00, 0.00
NW ENVIRONMENTAL BUSINESS COUNCIL, 0.00, 0.00, 0.00, 0.00
NW FOOD PROCESSORS ASSN, 0.00, 0.00, 0.00, 0.00
NW GROCERY ASSN, 0.00, 0.00, 0.00, 0.00
NW HEALTH LAW ADVOCATES, 0.00, 0.00, 0.00, 0.00
NW RELIGIOUS LIBERTY ASSN, 0.00, 0.00, 0.00, 0.00
NW SPORTFISHING INDUSTRY ASSN, 0.00, 0.00, 0.00, 0.00
OAKPOINTE LAND COVINGTON LLC, 0.00, 0.00, 0.00, 0.00
OFFICE OF THE SECRETARY OF STATE, 0.00, 0.00, 0.00, 0.00
OKANOGAN CO COMMISSION, 0.00, 0.00, 0.00, 0.00
OKANOGAN CO PUD, 0.00, 0.00, 0.00, 0.00
OLYMPIA CAPITOL PARK FOUNDATION, 0.00, 0.00, 0.00, 0.00
OLYMPIA CONSULTING LLC*, 0.00, 0.00, 0.00, 0.00
OLYMPIA TEA PARTY, 0.00, 0.00, 0.00, 0.00
OLYMPIA YACHT CLUB, 0.00, 0.00, 0.00, 0.00
OLYMPIC CASCADE SERVUCES INC, 0.00, 0.00, 0.00, 0.00
OLYMPIC MEDICAL CENTER, 0.00, 0.00, 0.00, 0.00
ONE AMERICA, 0.00, 0.00, 0.00, 0.00
ONE AMERICA VOTES, 0.00, 0.00, 0.00, 0.00
OPEIU LOCAL 8, 0.00, 0.00, 0.00, 0.00
OPTICIANS ASSN OF WA, 0.00, 0.00, 0.00, 0.00
OPTOMETRIC PHYSICIANS OF WA, 0.00, 0.00, 0.00, 0.00
ORRICK HERRINGTON & SUTCLIFFE LLP, 0.00, 0.00, 0.00, 0.00
OTHER NINE MONTHS, 0.00, 0.00, 0.00, 0.00
OTSUKA AMERICA PHARMACEUTICAL INC, 0.00, 0.00, 0.00, 0.00
OUTCOMES BY LEVY LLC*, 0.00, 0.00, 0.00, 0.00
OVERLAKE HOSPITAL MEDICAL CENTER, 0.00, 0.00, 0.00, 0.00
OVERTON & ASSOC, 0.00, 0.00, 0.00, 0.00
OYSTER BAY PUBLIC AFFAIRS*, 0.00, 0.00, 0.00, 0.00
PACIFIC COAST SHELLFISH GROWERS ASSN, 0.00, 0.00, 0.00, 0.00
PACIFIC DENTAL SERVICES, 0.00, 0.00, 0.00, 0.00
PACIFIC MEDICAL CENTERS, 0.00, 0.00, 0.00, 0.00
PACIFIC MERCHANT SHIPPING ASSN, 0.00, 0.00, 0.00, 0.00
PACIFIC NORTHWEST BALLET, 0.00, 0.00, 0.00, 0.00
PACIFIC NORTHWEST HARDWARE & IMPLEMENT ASSN, 0.00, 0.00, 0.00, 0.00
PACIFIC NORTHWEST REGIONAL COUNCIL OF CARPENTERS, 0.00, 0.00, 48720.00, 48720.00
PACIFIC NORTHWEST UNIVERSITY OF HEALTH SCIENCES, 0.00, 0.00, 0.00, 0.00
PACIFIC NW REGIONAL STRATEGIES LLC*, 0.00, 0.00, 0.00, 0.00
PACIFIC PRINTING INDUSTRIES ASSN, 0.00, 0.00, 0.00, 0.00
PACIFIC PROPANE GAS ASSN, 0.00, 0.00, 0.00, 0.00
PACIFIC SCIENCE CENTER, 0.00, 0.00, 0.00, 0.00
PACIFIC SEAFOOD, 0.00, 0.00, 0.00, 0.00
PACIFIC TECHNOLOGY ALLIANCE, 0.00, 0.00, 0.00, 0.00
PACIFICLEAN ENVIRONMENTAL OF WA LLC, 0.00, 0.00, 0.00, 0.00
PACIFICORP, 0.00, 0.00, 0.00, 0.00
PACKAGING CORP OF AMERICA, 0.00, 0.00, 0.00, 0.00
PALMER COKING COAL CO, 0.00, 0.00, 0.00, 0.00
PAM CRONE LEGISLATIVE CONSULTING SVCS*, 0.00, 0.00, 0.00, 0.00
PARADIGM MANAGEMENT SERVICES, 0.00, 0.00, 0.00, 0.00
PARATRANSIT SERVICES, 0.00, 0.00, 0.00, 0.00
PARENT TRUST FOR WA CHILDREN, 0.00, 0.00, 0.00, 0.00
PARKER THOMAS, 0.00, 0.00, 0.00, 0.00
PARTNERS IN CAREERS, 0.00, 0.00, 0.00, 0.00
PARTNERSHIP FOR LEARNING, 0.00, 0.00, 0.00, 0.00
PASCO SCHOOL DIST, 0.00, 0.00, 0.00, 0.00
PATRICK DUNN & ASSOCIATES LTD*, 0.00, 0.00, 0.00, 0.00
PAWN 1, 0.00, 0.00, 0.00, 0.00
PAYQWICK, 0.00, 0.00, 0.00, 0.00
PEACE HEALTH SW MEDICAL CENTER, 0.00, 0.00, 0.00, 0.00
PEDIATRIX MEDICAL GROUP, 0.00, 0.00, 0.00, 0.00
PEMCO FINANCIAL SERVICES, 0.00, 0.00, 0.00, 0.00
PEND OREILLE CO COMMISSION, 0.00, 0.00, 0.00, 0.00
PENINSULA LIGHT CO, 0.00, 0.00, 0.00, 0.00
PERSONAL CARE PRODUCTS COUNCIL, 0.00, 0.00, 0.00, 0.00
PFIZER INC, 0.00, 0.00, 0.00, 0.00
PHARMACEUTICAL CARE MANAGEMENT ASSN, 0.00, 0.00, 0.00, 0.00
PHARMACEUTICAL RSRCH/MFG OF AMERICA, 0.00, 0.00, 0.00, 0.00
PHIL WATKINS PUBLIC AFFAIRS INC*, 0.00, 0.00, 0.00, 0.00
PHILIPS ELECTRONICS NORTH AMERICA, 0.00, 0.00, 0.00, 0.00
PHILLIPS 66, 0.00, 0.00, 0.00, 0.00
PHYSICAL THERAPY ASSN OF WA, 0.00, 0.00, 0.00, 0.00
PHYSICIANS INSURANCE EXCHANGE, 0.00, 0.00, 0.00, 0.00
PIERCE CO ALLIANCE, 0.00, 0.00, 0.00, 0.00
PIERCE CO GOVT RELATIONS, 0.00, 0.00, 0.00, 0.00
PIERCE CO HUMAN SERVICES COALITION, 3000.00, 0.00, 0.00, 3000.00
PIERCE CO REGIONAL COUNCIL, 0.00, 0.00, 0.00, 0.00
PIERCE CO SECURITY INC, 0.00, 0.00, 0.00, 0.00
PIERCE CONSERVATION DIST, 0.00, 0.00, 0.00, 0.00
PIERCE CONSULTING SVCS LLC*, 0.00, 0.00, 0.00, 0.00
PIERCE TRANSIT, 0.00, 0.00, 0.00, 0.00
PIONEER HUMAN SERVICES, 0.00, 0.00, 0.00, 0.00
PLANNED PARENTHOOD VOTES NW & HAWAII, 0.00, 0.00, 0.00, 0.00
PLAUCHE & CARR LLP*, 0.00, 0.00, 0.00, 0.00
POINT RUSTON LLC, 0.00, 0.00, 0.00, 0.00
POLICY SOLUTIONS*, 0.00, 0.00, 0.00, 0.00
POPE RESOURCES/OLYMPIC PROP GROUP/OLYMPIC RESOURCE MGMT INC, 0.00, 0.00, 0.00, 0.00
PORT BLAKELY TREE FARMS, 0.00, 0.00, 500.00, 500.00
PORT GAMBLE S'KLALLAM TRIBE, 0.00, 0.00, 0.00, 0.00
PORT MADISON ENTERPRISES AN AGENCY OF THE SUQUAMISH TRIBE, 0.00, 0.00, 0.00, 0.00
PORT OF BELLINGHAM, 0.00, 0.00, 0.00, 0.00
PORT OF BREMERTON, 0.00, 0.00, 0.00, 0.00
PORT OF CENTRALIA, 0.00, 0.00, 0.00, 0.00
PORT OF CHELAN CO, 0.00, 0.00, 0.00, 0.00
PORT OF EVERETT, 0.00, 0.00, 0.00, 0.00
PORT OF KALAMA, 0.00, 0.00, 0.00, 0.00
PORT OF MOSES LAKE, 0.00, 0.00, 0.00, 0.00
PORT OF QUINCY, 0.00, 0.00, 0.00, 0.00
PORT OF ROYAL SLOPE, 0.00, 0.00, 0.00, 0.00
PORT OF SEATTLE, 0.00, 0.00, 0.00, 0.00
PORT OF TACOMA, 0.00, 0.00, 0.00, 0.00
PORT OF VANCOUVER, 0.00, 0.00, 0.00, 0.00
PORT OF WALLA WALLA, 0.00, 0.00, 0.00, 0.00
PORTLAND GENERAL ELECTRIC, 0.00, 0.00, 0.00, 0.00
PORTLAND VANCOUVER JUNCTION RAILROAD, 0.00, 0.00, 0.00, 0.00
POST PRISON EDUCATION PROGRAM, 0.00, 0.00, 0.00, 0.00
POTTS & ASSOC*, 0.00, 0.00, 0.00, 0.00
POTTS JAMES W, 0.00, 0.00, 0.00, 0.00
PREMERA BLUE CROSS, 0.00, 0.00, 0.00, 0.00
PRE-PAID LEGAL SERVICES INC, 0.00, 0.00, 0.00, 0.00
PREPARED RESPONSE, 0.00, 0.00, 0.00, 0.00
PRINCIPLED SOLUTIONS*, 0.00, 0.00, 0.00, 0.00
PROCTER & GAMBLE CO, 0.00, 0.00, 0.00, 0.00
PROF & TECH EMPLOYEES LOCAL 17, 0.00, 0.00, 0.00, 0.00
PROFESSIONAL INSURANCE AGENTS ASSN, 0.00, 0.00, 0.00, 0.00
PROGRESO: LATINO PROGRESS ALLIANCE, 0.00, 0.00, 0.00, 0.00
PROGRESSIVE CORP, 0.00, 0.00, 0.00, 0.00
PROLIANCE SURGEONS, 0.00, 0.00, 0.00, 0.00
PROMONTORY INTERFINANCIAL NETWORK LLC, 0.00, 0.00, 0.00, 0.00
PROPERTY CASUALTY INSURERS ASSN OF AMERICA, 0.00, 0.00, 0.00, 0.00
PROSPERITY COUNSELING & TREATMENT SERVICES INC, 0.00, 0.00, 0.00, 0.00
PROTECT OUR GUN RIGHTS, 0.00, 0.00, 0.00, 0.00
PROVIDENCE HEALTH & SERVICES- WA, 0.00, 0.00, 0.00, 0.00
PUBLIC AFFAIRS OF WA LLC*, 0.00, 0.00, 0.00, 0.00
PUBLIC CITIZEN, 0.00, 0.00, 0.00, 0.00
PUBLIC CONSULTING GROUP INC (THRU MULTISTATES), 0.00, 0.00, 0.00, 0.00
PUBLIC SCHOOL EMPLOYEES OF WA, 0.00, 0.00, 0.00, 0.00
PUD #1 OF COWLITZ CO, 0.00, 0.00, 0.00, 0.00
PUGET SOUND ADVOCATES FOR RETIREMENT ACTION, 0.00, 0.00, 0.00, 0.00
PUGET SOUND CLEAN AIR AGENCY, 0.00, 0.00, 0.00, 0.00
PUGET SOUND ENERGY INC, 0.00, 0.00, 0.00, 0.00
PUGET SOUND KEEPER ALLIANCE, 0.00, 0.00, 0.00, 0.00
PUGET SOUND METAL TRADES COUNCIL, 0.00, 0.00, 0.00, 0.00
PUGET SOUND PILOTS, 0.00, 0.00, 0.00, 0.00
PUGET SOUND SCHOOL COALITION/KING CO SCHOOL COALITION (THRU K AND L GATES), 0.00, 0.00, 0.00, 0.00
PURDUE PHARMA, 0.00, 0.00, 0.00, 0.00
PURSE SEINE VESSEL OWNERS ASSN, 0.00, 0.00, 0.00, 0.00
PUYALLUP TRIBE OF INDIANS, 0.00, 0.00, 0.00, 0.00
QLIANCE MEDICAL MANAGEMENT INC, 0.00, 0.00, 0.00, 0.00
QUEST DIAGNOSTICS C/O MULTISTATE ASSOC INC, 0.00, 0.00, 0.00, 0.00
QUINAULT INDIAN NATION, 0.00, 0.00, 0.00, 0.00
QUINCY VALLEY MEDICAL CENTER, 0.00, 0.00, 0.00, 0.00
RAINIER UNISERV COUNCIL, 0.00, 0.00, 0.00, 0.00
RAYONIER INC, 0.00, 0.00, 0.00, 0.00
RCO LEGAL, 0.00, 0.00, 0.00, 0.00
REACH OUT & READ INC, 0.00, 0.00, 0.00, 0.00
RECREATIONAL BOATING ASSN OF WA, 0.00, 0.00, 0.00, 0.00
RECREATIONAL EQUIPMENT INC, 0.00, 0.00, 0.00, 0.00
RECREATIONAL GAMING ASSN, 0.00, 0.00, 0.00, 0.00
REDFLEX TRAFFIC SYSTEMS, 0.00, 0.00, 0.00, 0.00
REGENCE BLUE SHIELD, 0.00, 0.00, 0.00, 0.00
REGIONAL FISHERIES ENHANCEMENT GROUP COALITION, 0.00, 0.00, 0.00, 0.00
REGIONAL WATER COOPERATIVE OF PIERCE CO, 0.00, 0.00, 0.00, 0.00
REICH & TANG DEPOSIT NETWORKS LLC, 0.00, 0.00, 0.00, 0.00
REIMBURSEMENT SERVICES LLC, 0.00, 0.00, 0.00, 0.00
RELX INC, 0.00, 0.00, 0.00, 0.00
RENEWABLE NW PROJECT, 0.00, 0.00, 0.00, 0.00
RENTAL HOUSING ASSN OF PUGET SOUND, 0.00, 0.00, 0.00, 0.00
REPUBLIC SERVICES, 0.00, 0.00, 0.00, 0.00
RESCARE (THRU MULTISTATE ASSOC INC), 30000.00, 0.00, 0.00, 30000.00
RESOLUTION WA, 0.00, 0.00, 0.00, 0.00
RESPIRATORY CARE SOCIETY OF WA, 0.00, 0.00, 0.00, 0.00
RETIRED FIREFIGHTERS OF WA, 0.00, 0.00, 0.00, 0.00
RETIRED PUBLIC EMPLOYEES COUNCIL OF WA, 0.00, 0.00, 0.00, 0.00
REYNOLDS AMERICAN, 0.00, 0.00, 0.00, 0.00
RICHLAND SCHOOL DIST, 0.00, 0.00, 0.00, 0.00
RILEY JAMES S, 0.00, 0.00, 0.00, 0.00
RITE AID CORPORATION, 0.00, 0.00, 0.00, 0.00
ROB MAKIN CONSULTING*, 0.00, 0.00, 0.00, 0.00
ROWLAND JAMES G, 0.00, 0.00, 0.00, 0.00
ROWLEY PROPERTIES INC, 0.00, 0.00, 806.39, 806.39
RURAL HEALTH CLINIC ASSN, 0.00, 0.00, 0.00, 0.00
RUSSELL INVESTMENT GROUP, 0.00, 0.00, 0.00, 0.00
SABEY CORPORATION, 0.00, 0.00, 0.00, 0.00
SAFE BABIES SAFE MOMS, 0.00, 0.00, 0.00, 0.00
SALTCHUK RESOURCES INC, 0.00, 0.00, 0.00, 0.00
SAMISH INDIAN NATION, 0.00, 0.00, 0.00, 0.00
SAMMAMISH UNISERV COUNCIL, 0.00, 0.00, 0.00, 0.00
SANITARY SERVICES CO INC, 0.00, 0.00, 0.00, 0.00
SANOFI US, 0.00, 0.00, 0.00, 0.00
SAP PUBLIC SERVICES INC, 0.00, 0.00, 0.00, 0.00
SAPIRO NANCY L, 0.00, 0.00, 0.00, 0.00
SAS INSTITUTE INC, 0.00, 0.00, 0.00, 0.00
SAUK-SUIATTLE INDIAN TRIBE, 0.00, 0.00, 0.00, 0.00
SAVE THE CHILDREN ACTION NETWORK, 0.00, 0.00, 0.00, 0.00
SCHINDLER ELEVATOR CORP, 0.00, 0.00, 0.00, 0.00
SCHNITZER STEEL INDUSTRIES INC, 0.00, 0.00, 0.00, 0.00
SCHOOL NURSES ORGANIZATION OF WA, 0.00, 0.00, 0.00, 0.00
SCHOOLS ALLIANCE (THRU K AND L GATES), 0.00, 0.00, 0.00, 0.00
SCHOOLS INSURANCE ASSN OF WA, 0.00, 0.00, 0.00, 0.00
SCHOOLS OUT WA, 0.00, 0.00, 0.00, 0.00
SCI MANAGEMENT, 0.00, 0.00, 0.00, 0.00
SCIENTIFIC GAMES INTL, 0.00, 0.00, 0.00, 0.00
SEADRUNAR, 0.00, 0.00, 0.00, 0.00
SEATTLE AQUARIUM SOCIETY, 0.00, 0.00, 0.00, 0.00
SEATTLE CANCER CARE ALLIANCE, 0.00, 0.00, 0.00, 0.00
SEATTLE CENTER FOUNDATION, 0.00, 0.00, 0.00, 0.00
SEATTLE CHILDRENS HOSPITAL, 0.00, 0.00, 0.00, 0.00
SEATTLE COUNCIL PTSA, 0.00, 0.00, 0.00, 0.00
SEATTLE EDUCATION ASSN, 0.00, 0.00, 0.00, 0.00
SEATTLE KING CO CONVENTION & VISITORS BUREAU, 0.00, 0.00, 0.00, 0.00
SEATTLE MUSIC FOUNDATION, 0.00, 0.00, 0.00, 0.00
SEATTLE OPERA, 0.00, 0.00, 0.00, 0.00
SEATTLE PSYCHOANALYTIC SOCIETY & INSTITUTE, 0.00, 0.00, 0.00, 0.00
SEATTLE PUBLIC SCHOOLS, 0.00, 0.00, 0.00, 0.00
SEATTLE SYMPHONY, 0.00, 0.00, 0.00, 0.00
SECURITIES INDUSTRY AND FINANCIAL MARKETS ASSN, 0.00, 0.00, 0.00, 0.00
SEIB POLICY & PUBLIC AFFAIRS*, 0.00, 0.00, 0.00, 0.00
SEIU 775, 0.00, 0.00, 0.00, 0.00
SEIU HEALTHCARE 1199 NW, 0.00, 0.00, 15103.31, 15103.31
SELLSTROM GLOBAL SHIPPING INC, 0.00, 0.00, 0.00, 0.00
SERVICE CONTRACT INDUSTRY CNCL, 0.00, 0.00, 0.00, 0.00
SERVICE EMPLOYEES INTL UNION - STATE COUNCIL, 0.00, 0.00, 0.00, 0.00
SERVICE EMPLOYEES INTL UNION DIST 925, 0.00, 0.00, 1620.49, 1620.49
SERVICE EMPLOYEES INTL UNION LOCAL 6, 0.00, 0.00, 0.00, 0.00
SHAFFER SANTIAGO, 0.00, 0.00, 0.00, 0.00
SHAW MICHAEL, 0.00, 0.00, 0.00, 0.00
SHEET METAL & AIR CONDITION CONTRACTORS WEST WA, 0.00, 0.00, 0.00, 0.00
SHEET METAL WORKERS LOCAL 66, 0.00, 0.00, 0.00, 0.00
SHELL OIL CO, 0.00, 0.00, 0.00, 0.00
SHERWOOD COMMUNITY SERVICES, 0.00, 0.00, 0.00, 0.00
SHIRE, 0.00, 0.00, 0.00, 0.00
SICPA PRODUCT SECURITY LLC, 0.00, 0.00, 0.00, 0.00
SIERRA CLUB, 0.00, 0.00, 0.00, 0.00
SIERRA PACIFIC INDUSTRIES, 0.00, 0.00, 8100.00, 8100.00
SIGNATURE HEALTHCARE SERVICES LLC, 0.00, 0.00, 0.00, 0.00
SKAMANIA CO CHAMBER OF COMMERCE, 0.00, 0.00, 0.00, 0.00
SMALL & MIDSIZE TRANSIT ALLIANCE, 0.00, 0.00, 0.00, 0.00
SMITH GARY L, 0.00, 0.00, 0.00, 0.00
SNOHOMISH CO, 0.00, 0.00, 0.00, 0.00
SNOHOMISH CO FARM BUREAU, 0.00, 0.00, 0.00, 0.00
SNOHOMISH CO FIRE DIST 1, 0.00, 0.00, 0.00, 0.00
SNOHOMISH CO PTBA CORP, 0.00, 0.00, 0.00, 0.00
SNOHOMISH CO PUBLIC UTILITY DIST #1, 0.00, 0.00, 0.00, 0.00
SNO-KING WATER DIST COALITION, 0.00, 0.00, 0.00, 0.00
SOCIETY OF PROFESSIONAL ENGINEERING EMPLOYEES IN AEROSPACE SPEEA, 0.00, 0.00, 0.00, 0.00
SOLAR INSTALLERS OF WA, 0.00, 0.00, 0.00, 0.00
SOLID GROUND, 0.00, 0.00, 0.00, 0.00
SOUND ACTION, 0.00, 0.00, 0.00, 0.00
SOUND VIEW STRATEGIES LLC*, 0.00, 0.00, 0.00, 0.00
SOUTH SOUND CHAMBERS OF COMMERCE LEG COMM, 0.00, 0.00, 0.00, 0.00
SOUTHERN WINE & SPIRITS, 0.00, 0.00, 0.00, 0.00
SPECIAL OLYMPICS WA, 0.00, 0.00, 0.00, 0.00
SPECTRUM HEALTH SYSTEMS, 0.00, 0.00, 0.00, 0.00
SPOKANE COUNTY, 0.00, 0.00, 0.00, 0.00
SPOKANE INTL AIRPORT, 0.00, 0.00, 0.00, 0.00
SPOKANE PUBLIC FACILITIES DIST, 0.00, 0.00, 0.00, 0.00
SPOKANE TRANSIT AUTHORITY, 0.00, 0.00, 0.00, 0.00
SPOKANE TRIBE OF INDIANS, 0.00, 0.00, 0.00, 0.00
SPRINT NEXTEL, 0.00, 0.00, 0.00, 0.00
SQUAXIN ISLAND TRIBE, 0.00, 0.00, 0.00, 0.00
SR PRODUCTIONS, 0.00, 0.00, 0.00, 0.00
SSA MARINE, 0.00, 0.00, 0.00, 0.00
STAND FOR CHILDREN INC, 0.00, 0.00, 0.00, 0.00
STARBUCKS, 0.00, 0.00, 0.00, 0.00
STATE FARM INSURANCE COMPANIES, 0.00, 0.00, 0.00, 0.00
STATEWIDE POVERTY ACTION NETWORK, 0.00, 0.00, 0.00, 0.00
STAUFFACHER COMMUNICATIONS*, 0.00, 0.00, 0.00, 0.00
STE MICHELLE WINE ESTATES LTD, 0.00, 0.00, 0.00, 0.00
STERICYCLE INC, 0.00, 0.00, 0.00, 0.00
STEVENS CO COMMISSION, 0.00, 0.00, 0.00, 0.00
STILLAGUAMISH TRIBE OF INDIANS, 0.00, 0.00, 0.00, 0.00
STRATEGIES 360*, 0.00, 0.00, 0.00, 0.00
SUNNYSIDE COMMUNITY HOSPITAL & CLINICS, 0.00, 0.00, 0.00, 0.00
SUNRISE SERVICES INC, 0.00, 0.00, 0.00, 0.00
SUNRUN INC, 0.00, 0.00, 0.00, 0.00
SUPERINTENDENT OF PUBLIC INSTRUCTION, 0.00, 0.00, 0.00, 0.00
SUPERIOR COURT JUDGES ASSN, 0.00, 0.00, 0.00, 0.00
SURPLUS LINE ASSN OF WA, 0.00, 0.00, 0.00, 0.00
SWINOMISH INDIAN TRIBAL COMMUNITY, 0.00, 0.00, 0.00, 0.00
SYNGENTA, 0.00, 0.00, 0.00, 0.00
T K BENTLER/PUBLIC AFFAIRS ASSOC*, 0.00, 0.00, 0.00, 0.00
TACOMA PUBLIC SCHOOLS, 0.00, 0.00, 0.00, 0.00
TACOMA PUBLIC UTILITIES, 0.00, 0.00, 0.00, 0.00
TACOMA-PIERCE CO CHAMBER OF COMMERCE, 0.00, 0.00, 0.00, 0.00
TACOMA-PIERCE CO HEALTH DEPT, 0.00, 0.00, 0.00, 0.00
TAKEDA PHARMACEUTICALS, 0.00, 0.00, 0.00, 0.00
TALGO INC, 0.00, 0.00, 0.00, 0.00
TASER INTL (THRU NATL STRATEGIES), 0.00, 0.00, 0.00, 0.00
TAYLOR SHELLFISH CO INC, 0.00, 0.00, 0.00, 0.00
TEACHERS INSURANCE & ANNUITY ASSN, 0.00, 0.00, 0.00, 0.00
TEACHERS UNITED, 0.00, 0.00, 0.00, 0.00
TEAMCHILD, 0.00, 0.00, 0.00, 0.00
TEAMSTERS LOCAL UNION #117, 0.00, 0.00, 0.00, 0.00
TECHNOLOGY NETWORK, 0.00, 0.00, 0.00, 0.00
TECK AMERICAN/TECK WA, 0.00, 0.00, 0.00, 0.00
TESLA, 0.00, 0.00, 0.00, 0.00
TESORO CORP, 0.00, 0.00, 0.00, 0.00
THE COLLEGE BOARD, 0.00, 0.00, 0.00, 0.00
THE NATURE CONSERVANCY, 0.00, 0.00, 0.00, 0.00
THE TSB GROUP*, 0.00, 0.00, 0.00, 0.00
THE WASHINGTON TREASURER'S OFFICE, 0.00, 0.00, 0.00, 0.00
THERAPEUTIC HEALTH SERVICES, 0.00, 0.00, 0.00, 0.00
THERMO FISHER, 0.00, 0.00, 0.00, 0.00
THOMPSON CONSULTING GROUP*, 0.00, 0.00, 0.00, 0.00
THOMSON REUTERS, 0.00, 0.00, 0.00, 0.00
THRIVE WA, 0.00, 0.00, 0.00, 0.00
THYSSENKRUPP ELEVATOR, 0.00, 0.00, 0.00, 0.00
TICKET NETWORK, 0.00, 0.00, 0.00, 0.00
T-MOBILE USA INC, 0.00, 0.00, 0.00, 0.00
TOTAL WINE & MORE, 0.00, 0.00, 0.00, 0.00
TOWER LTD*, 0.00, 0.00, 0.00, 0.00
TOWING AND RECOVERY ASSN OF WA, 0.00, 0.00, 0.00, 0.00
TOY INDUSTRY ASSN, 0.00, 0.00, 0.00, 0.00
TRANSALTA USA INC, 0.00, 0.00, 0.00, 0.00
TRANSCANADA GTN, 0.00, 0.00, 0.00, 0.00
TRANSPORTATION CHOICES COALITION, 0.00, 0.00, 0.00, 0.00
TREEHOUSE, 0.00, 0.00, 0.00, 0.00
TRIOS HEALTH, 0.00, 0.00, 0.00, 0.00
TRIPLE C COLLECTIVE, 0.00, 0.00, 0.00, 0.00
TROUT UNLIMITED WA WATER PROJECT, 0.00, 0.00, 0.00, 0.00
TRUE BLUE INC, 0.00, 0.00, 1000.00, 1000.00
TULALIP TRIBES OF WA, 0.00, 0.00, 0.00, 0.00
TUSK MONTGOMERY PHILANTHROPIES, 0.00, 0.00, 0.00, 0.00
TUSK VENTURES LLC, 0.00, 0.00, 0.00, 0.00
TW TELECOM OF WA LLC, 0.00, 0.00, 0.00, 0.00
TWO JINN INC, 0.00, 0.00, 0.00, 0.00
UBER TECHNOLOGIES INC, 0.00, 0.00, 0.00, 0.00
UCB INC, 0.00, 0.00, 0.00, 0.00
UNIFIED GROCERS, 0.00, 0.00, 0.00, 0.00
UNION OF CONCERNED SCIENTISTS, 0.00, 0.00, 0.00, 0.00
UNION PACIFIC RAILROAD CO, 0.00, 0.00, 0.00, 0.00
UNITE HERE LOCAL 1, 0.00, 0.00, 0.00, 0.00
UNITED FOOD & COMM WRKRS # 21, 0.00, 0.00, 169385.46, 169385.46
UNITED HEALTH GROUP, 0.00, 0.00, 0.00, 0.00
UNITED HEALTHCARE SERVICES INC, 0.00, 0.00, 0.00, 0.00
UNITED SCHOOLS INSURANCE PROGRAM, 0.00, 0.00, 0.00, 0.00
UNITED TECHNOLOGIES CORP, 0.00, 0.00, 0.00, 0.00
UNITED TRANSPORTATION UNION, 0.00, 0.00, 0.00, 0.00
UNITED TRUSTEES ASSN, 0.00, 0.00, 0.00, 0.00
UNITED WAY OF KING CO, 0.00, 0.00, 0.00, 0.00
UNITED WAY OF SNOHOMISH CO, 0.00, 0.00, 0.00, 0.00
UNITED WAYS OF THE PACIFIC NORTHWEST, 0.00, 0.00, 0.00, 0.00
UNIVERSITY OF WA AT TACOMA, 2920.00, 400.00, 0.00, 3320.00
UNIVERSITY OF WASHINGTON, 0.00, 0.00, 0.00, 0.00
UPS, 0.00, 0.00, 0.00, 0.00
URS CORP, 0.00, 0.00, 0.00, 0.00
US BANCORP, 0.00, 0.00, 0.00, 0.00
US CELLULAR, 0.00, 0.00, 0.00, 0.00
US ECOLOGY WA INC, 0.00, 0.00, 0.00, 0.00
US HEALTHWORKS, 0.00, 0.00, 0.00, 0.00
USAA, 0.00, 0.00, 0.00, 0.00
UTILITY SERVICE GROUP, 0.00, 0.00, 0.00, 0.00
VAAGEN BROTHERS LUMBER INC, 0.00, 0.00, 1000.00, 1000.00
VALLEY MEDICAL CENTER, 0.00, 0.00, 0.00, 0.00
VANCOUVER EDUCATION ASSN, 0.00, 0.00, 0.00, 0.00
VANCOUVER NATIONAL HISTORIC TRUST, 0.00, 0.00, 0.00, 0.00
VERIFIED VOTING, 0.00, 0.00, 0.00, 0.00
VERITEC SOLUTIONS LLC, 0.00, 0.00, 0.00, 0.00
VERIZON NORTHWEST, 0.00, 0.00, 0.00, 0.00
VERTEX PHARMACEUTICALS INC, 0.00, 0.00, 0.00, 0.00
VIGOR INDUSTRIAL, 0.00, 0.00, 0.00, 0.00
VIPERS CLUB, 0.00, 0.00, 0.00, 0.00
