Bill,Flags,Title,Status,Veto,Date,Original Sponsor
"HB 2804","f","Contracted highway workers","H subst for","","2/12/2016","Haler"
"HB 2805","f","Firefighter hazard. exposure","H subst for","","2/11/2016","Reykdal"
"HB 2806","f#","Occup. disease presumptions","H Rules 3C","","3/10/2016","Kuderer"
"HB 2807","f","Heavy haul industr corridors","C 26 L 16","","3/25/2016","Dye"
"HB 2808","a","Invol. treat. petitions","C 107 L 16","","3/31/2016","Jinkins"
"HB 2809","f","High-technology research","H Finance","","1/21/2016","Sullivan"
"HB 2810","","Electrical rules review","H Labor & Workpl","","1/21/2016","Taylor"
"HB 2811","","Landlord-tenant provisions","H Rules X","","2/26/2016","Walkinshaw"
"HB 2812","f#","Aggravated theft or robbery","H Rules X","","2/26/2016","Goodman"
"HB 2813","","Mobile home landlord-tenant","H Judiciary","","1/21/2016","Shea"
"HB 2814","","Areas for shooting/GMA","H Local Govt","","1/21/2016","Klippert"
"HB 2815","f#","Regional transp. plan. orgs.","C 27 L 16","","3/25/2016","Hayes"
"HB 2816","f#","Trans. benefit district tax","H Trans","","1/21/2016","Muri"
"HB 2817","f","Corrections ombuds, creating","H Approps","","2/5/2016","Moscoso"
"HB 2818","f#","Covering of loads on highway","H Trans","","1/21/2016","Kilduff"
"HB 2819","","Dental licensure/residency","H HC/Wellness","","1/21/2016","Riccelli"
"HB 2820","f","Comm. & tech. college access","H Approps","","2/5/2016","Pollet"
"HB 2821","","Vehicle reports of sale","H Trans","","1/21/2016","Harmsworth"
"HB 2822","","Underservd grps/I-200 repeal","H Cap Budget","","1/21/2016","Santos"
"HB 2823","f#","School violence reports","H Rules X","","2/26/2016","Parker"
"HB 2824","","Public school ed. success","H Education","","1/21/2016","Sawyer"
"HB 2825","f","Disabled student services","H subst for","","2/15/2016","Frame"
"HB 2826","f","Energy strategy document","H Rules R","","2/5/2016","DeBolt"
"HB 2827","","Fuel mix disclosure","H Tech &  Econ De","","1/21/2016","DeBolt"
"HB 2828","","Potentially unstable slopes","H Ag & Nat Res","","1/21/2016","Stanford"
"HB 2829","","Collective bargaining","H Labor & Workpla","","1/22/2016","Chandler"
"HB 2830","f","Fiscal notes & impact stmnts","H Approps","","1/22/2016","Chandler"
"HB 2831","f","Small business liquor sales","H subst for","","2/16/2016","Hurst"
"HB 2832","fd","Physician limited licenses","H Rules X","","2/26/2016","Tharinger"
"HB 2833","f","Educational grant program","H Approps","","2/5/2016","Young"
"HB 2834","fd","Homeless youth","H subst for","","2/15/2016","Senn"
"HB 2835","f#","Dementia public info. system","H Rules R","","2/5/2016","Tharinger"
"HB 2836","","Firearm liability insurance","H Judiciary","","1/22/2016","Farrell"
"HB 2837","","School class size task force","H Rules R","","2/11/2016","Farrell"
"HB 2838","fd","DOC limits on contact","C 108 L 16","","3/31/2016","Klippert"
"HB 2839","f","Airplane repair taxes","H subst for","","3/4/2016","Springer"
"HB 2840","f","Water discharge permits","H Ag & Nat Res","","1/22/2016","Pettigrew"
"HB 2841","f#","State building code council","H subst for","","2/16/2016","Senn"
"HB 2842","f#","State-owned land/private dev","C 192 L 16","","4/1/2016","Schmick"
"HB 2843","f","Affordable housing support","H Finance","","2/5/2016","McBride"
"HB 2844","f","Responsible bidder criteria","H Rules 3C","","3/10/2016","Ormsby"
"HB 2845","f","Prevailing wage law recovery","H Rules 3C","","3/10/2016","Ormsby"
"HB 2846","f","Apprenticeship utilization","H Rules R","","2/4/2016","Ormsby"
"HB 2847","","Disability retrofitting","H subst for","","2/16/2016","Rossetti"
"HB 2848","","Corps. & money in politics","H State Governme","","1/22/2016","Frame"
"HB 2849","f#","Commissioned court marshals","H subst for","","2/11/2016","Goodman"
"HB 2850","","Incarceration/cont. of care","H HC/Wellness","","1/22/2016","Walkinshaw"
"HB 2851","f","School director compensation","H subst for","","2/11/2016","Frame"
"HB 2852","f#","Election data and reporting","H subst for","","2/12/2016","Hudgins"
"HB 2853","f#","Election admin. cert. reqs.","H Rules R","","2/9/2016","Hudgins"
"HB 2854","f","Ballot rejection survey","H Rules R","","2/5/2016","Hudgins"
"HB 2855","f","TRS military service credit","H Approps","","1/22/2016","Sells"
"HB 2856","af#","Office of Chehalis basin","C 194 L 16","","4/1/2016","DeBolt"
"HB 2857","f","Sustainable wood materials","H Finance","","2/4/2016","Blake"
"HB 2858","f#","Dev. disability ombuds","H Approps","","2/5/2016","Hunt, S."
"HB 2859","f#","Credit report freezes","H subst for","","2/17/2016","Hunt, S."
"HB 2860","","Res. habilitation centers","H Erly Lrn/H Svc","","1/25/2016","Johnson"
"HB 2861","","Chiropractic service payment","H HC/Wellness","","1/25/2016","Schmick"
"HB 2862","f#","School district fiscal notes","H Approps","","2/5/2016","Rossetti"
"HB 2863","f","Drinking water supply projs.","H Rules X","","2/26/2016","McCabe"
"HB 2864","f#","Trans. benefit tax increase","H Trans","","1/25/2016","Hunt, S."
"HB 2865","","Hospitals/ARNPs & PAs","H Rules R","","2/2/2016","Cody"
"HB 2866","","PNWER council creation comm.","H Tech &  Econ D","","1/25/2016","Johnson"
"HB 2867","","Higher ed. conceal carry","H Judiciary","","1/25/2016","Scott"
"HB 2868","f","Career & tech. ed. materials","H Approps","","1/25/2016","Reykdal"
"HB 2869","","Isolating incapacit. person","H Judiciary","","1/25/2016","Jinkins"
"HB 2870","","DFW public access reqs.","H Ag & Nat Res","","1/25/2016","Taylor"
"HB 2871","f","Patient out-of-pocket costs","H subst for","","2/17/2016","Cody"
"HB 2872","f","WSP recruitment & retention","H subst for","","3/2/2016","Fey"
"HB 2873","f#","Sex offenses/statute of lim.","H Gen Govt & Info","","2/5/2016","Griffey"
"HB 2874","f","TANF income eligibility","H Rules R","","2/9/2016","Pettigrew"
"HB 2875","f","Office of data privacy, etc.","H subst for","","2/15/2016","Smith"
"HB 2876","f","Deed of trust foreclosure","H subst for","","2/16/2016","Orwall"
"HB 2877","f","SNAP benefit dist. dates","H subst for","","2/17/2016","Hickel"
"HB 2878","f#","Child abuse penalty assessm.","H Rules R","","2/5/2016","Kilduff"
"HB 2879","f","Tax incentives report&survey","H Finance","","1/25/2016","Nealey"
"HB 2880","","Group health plan benefits","H HC/Wellness","","1/25/2016","Cody"
"HB 2881","f","Educator shortage","H Education","","1/25/2016","Pollet"
"HB 2882","f#","Deadly force data collection","H Rules R","","2/5/2016","Appleton"
"EHB 2883","fd","State agency reports","C 197 L 16","","4/1/2016","Senn"
"HB 2884","f","Alt. fuel comm. vehicles","H subst for","","2/17/2016","Clibborn"
"HB 2885","f","Maternal mortality review","H Approps","","2/5/2016","Stambaugh"
"HB 2886","f","Electrical scope of practice","C 198 L 16","","4/1/2016","Manweller"
"HB 2887","","Grad. student loans study","H Hi Ed","","1/25/2016","Haler"
"HB 2888","","Cetacean captivity","H Rules 3C","","3/10/2016","Van De Wege"
"HB 2889","","School board absences","H Education","","1/25/2016","Short"
"HB 2890","","Higher ed. plans for voting","H Hi Ed","","1/25/2016","Haler"
"HB 2891","f#","DFW payments in lieu of tax","H Approps","","1/25/2016","Haler"
"HB 2892","f","Electric fuel mix info.","H Rules X","","2/26/2016","DeBolt"
"HB 2893","","Invol. treatment determs.","H Judiciary","","1/25/2016","Kuderer"
"HB 2894","","Workplace bullying","H Labor & Workpl","","1/26/2016","Cody"
"HB 2895","f#","Alien victims of crime","H subst for","","2/12/2016","MacEwen"
"HB 2896","","Oil spill planning reqs.","H Environment","","1/26/2016","Moscoso"
"HB 2897","","Unlawful activity/properties","H Judiciary","","1/26/2016","Zeiger"
"HB 2898","f","Wholesale vehicle dealers","H Rules X","","2/26/2016","Clibborn"
"HB 2899","f#","Financial fraud instruments","H Gen Govt & Info","","2/5/2016","Kirby"
"HB 2900","f#","Corr. inst. prohibited items","H subst for","","2/16/2016","Klippert"
"HB 2901","","Landlord utility costs","H Judiciary","","1/26/2016","Vick"
"HB 2902","","Charter school tax credit","H Finance","","1/26/2016","Hargrove"
"HB 2903","f#","Electronic product recycling","H Environment","","1/26/2016","Peterson"
"HB 2904","f","Issuer payment acceptance","H Rules R","","2/5/2016","Blake"
"HB 2905","f","Collector license plates","H Trans","","1/26/2016","Sells"
"HB 2906","f#","Juvenile offenders reintegr.","H subst for","","2/15/2016","Stambaugh"
"HB 2907","f#","Officer use of deadly force","H Public Safety","","1/27/2016","Moscoso"
"HB 2908","f#","Community policing standards","H subst for","","2/16/2016","Ryu"
"HB 2909","","Invol. outpatient treatment","H Judiciary","","1/27/2016","Cody"
"HB 2910","f#","E-cigarettes, vapor products","H Commerce & Gam","","1/27/2016","Harris"
"HB 2911","f","Tuition/activities fees","H Hi Ed","","1/27/2016","Reykdal"
"HB 2912","f#","Crime victim participation","H Public Safety","","1/27/2016","Pettigrew"
"HB 2913","d","Child support noncompliance","H Rules R","","2/5/2016","Gregerson"
"HB 2914","f","WSP officer salary funding","H Trans","","1/27/2016","Kirby"
"HB 2915","d","DSHS notification reqs.","H 2nd Reading","","3/28/2016","Kilduff"
"HB 2916","f#","Exchange facilitators","H Bus & Fin Svcs","","1/27/2016","Ryu"
"HB 2917","f","Commercial janitor injuries","H Rules R","","2/9/2016","Gregerson"
"HB 2918","","City traffic schools","C 201 L 16","","4/1/2016","Gregerson"
"HB 2919","","College readiness assessment","H Education","","1/27/2016","Riccelli"
"HB 2920","f","Fred Hutch license plates","H Trans","","1/27/2016","Pettigrew"
"HB 2921","f","Prof. educator workforce","H Education","","1/27/2016","Hickel"
"HB 2922","","Digital indep. contractors","H Labor & Workpl","","1/27/2016","Manweller"
"HB 2923","f","Freight and rail planning","H Trans","","1/27/2016","Moscoso"
"HB 2924","f","Wildland firefighters/GPS","H Ag & Nat Res","","1/27/2016","Dent"
"HB 2925","f","Wildland fires/livestock","H subst for","","2/17/2016","Dent"
"HB 2926","","Language of public notices","H Public Safety","","1/27/2016","Walkinshaw"
"HB 2927","","Telemedicine/mental health","H HC/Wellness","","1/27/2016","Short"
"HB 2928","f","Outdoor burning/forest fires","H subst for","","2/16/2016","Kretz"
"HB 2929","","Temporary homeless housing","H Rules 3C","","3/10/2016","Parker"
"HB 2930","#","Juv. corrections/counties","H Rules 3C","","3/10/2016","Parker"
"HB 2931","","Noncompetition agreements","H Rules X","","2/26/2016","Stanford"
"HB 2932","","State building code alts.","H Local Govt","","1/28/2016","Blake"
"HB 2933","f","Small works rosters","H subst for","","2/15/2016","Gregerson"
"HB 2934","","Rail transport. task force","H Trans","","1/28/2016","Moscoso"
"HB 2935","","Gender seg. facility rules","H Judiciary","","1/28/2016","Van Werven"
"HB 2936","d","Public investments","H subst for","","2/17/2016","Senn"
"HB 2937","f#","Discover pass purchasing","H Gen Govt & Inf","","1/28/2016","Klippert"
"HB 2938","f","WA trade conventions/taxes","H subst for","","2/15/2016","Orcutt"
"HB 2939","","Newborn safe surrender info.","H Erly Lrn/H Svc","","1/28/2016","Stokesbary"
"HB 2940","","Voyeurism in the 2nd degree","H Public Safety","","1/28/2016","McCabe"
"HB 2941","","School bathrooms","H Judiciary","","1/29/2016","Short"
"HB 2942","fd","Nonresident CDLs","H Rules R","","2/29/2016","Ryu"
"HB 2943","","Obsolete provisions/commerce","H Rules R","","3/2/2016","Tharinger"
"HB 2944","","Psychotropic meds/children","H Erly Lrn/H Svc","","1/29/2016","Scott"
"HB 2945","","Growth management act review","H Rules R","","2/5/2016","Appleton"
"HB 2946","","Mobile home park closures","H Judiciary","","1/29/2016","Robinson"
"HB 2947","f","OSPI elimination/dept of ed","H Gen Govt & Inf","","1/29/2016","Sullivan"
"HB 2948","f","Career and college readiness","H Approps","","2/5/2016","Santos"
"HB 2949","","Voter party affiliation","H State Governmen","","2/1/2016","Caldier"
"HB 2950","","Motorcycle paraphernalia","H Judiciary","","2/1/2016","Haler"
"HB 2951","","Firearms & ammo in vehicles","H Judiciary","","2/1/2016","Scott"
"HB 2952","","Instream flow rules","H Ag & Nat Res","","2/1/2016","Scott"
"HB 2953","","Public employees/pub. works","H Local Govt","","2/1/2016","Tarleton"
"HB 2954","fd","Manufactured home sales","H Comm Dev, Hous","","2/1/2016","Ryu"
"HB 2955","f","Free to finish college prog.","H Rules X","","2/26/2016","Hansen"
"HB 2956","","Technology in transportation","H Rules R","","2/9/2016","Clibborn"
"HB 2957","","Juvenile custody & placement","H Erly Lrn/H Svc","","2/1/2016","Shea"
"HB 2958","","Minor chem. dep. treatment","H Judiciary","","2/1/2016","Shea"
"EHB 2959","af#","Business tax & licenses","C 55 L 16","","3/29/2016","Lytton"
"HB 2960","f","Winery tasting rooms","H Commerce & Gam","","2/1/2016","Condotta"
"HB 2961","","Investigational med. product","H HC/Wellness","","2/1/2016","Vick"
"HB 2962","","College admission tests","H Education","","2/2/2016","Moscoso"
"HB 2963","","High school exam payment","H Education","","2/2/2016","Moscoso"
"HB 2964","f","Reduced-price lunch copays","H subst for","","2/16/2016","Gregerson"
"HB 2965","","School accountability","H Approps","","2/2/2016","Magendanz"
"HB 2966","","Transp. electrification","H Tech &  Econ D","","2/3/2016","Muri"
"HB 2967","","Washington investment trust","H Bus & Fin Svcs","","2/3/2016","Walkinshaw"
"HB 2968","","Kindergarten, K-3 class size","H Rules C","","3/10/2016","Tharinger"
"HB 2969","f#","Vapor product taxation","H Commerce & Gam","","2/3/2016","Harris"
"HB 2970","f#","Voyeurism","H Rules 3C","","3/10/2016","McCabe"
"EHB 2971","af#","Real estate/local government","C 138 L 16","","3/31/2016","McBride"
"HB 2972","","State environmental policy","H Environment","","2/4/2016","McBride"
"HB 2973","f","Transportation performance","H subst for","","2/12/2016","Orcutt"
"HB 2974","","Property confiscation/emerg.","H Judiciary","","2/5/2016","Shea"
"HB 2975","","Firearms civil rights","H Judiciary","","2/5/2016","Shea"
"HB 2976","f","Clarke-McNary account trans.","H Rules X","","2/26/2016","Ormsby"
"HB 2977","f","Silicon smelters/taxes","H Approps","","2/29/2016","Short"
"HB 2978","","School choice","H Education","","2/8/2016","Stokesbary"
"HB 2979","","Nonprofit/major industrial","H Finance","","2/9/2016","DeBolt"
"HB 2980","","Air quality/facility siting","H Environment","","2/10/2016","Kochmar"
"HB 2981","","Delinquent property taxes","H Finance","","2/10/2016","Shea"
"HB 2982","f","Methanol tax exemption","H Finance","","2/12/2016","Jinkins"
"HB 2983","","Personal & alcohol monitors","H Finance","","2/12/2016","Shea"
"HB 2984","","Local gov. financing T.O.","H Local Govt","","2/15/2016","Senn"
"HB 2985","f","Educational space inventory","H subst for","","3/3/2016","Riccelli"
"HB 2986","","Pacific Islander health care","H HC/Wellness","","2/16/2016","Santos"
"HB 2987","","Feminine hygiene products","H Finance","","2/16/2016","Wilson"
"HB 2988","","Budget stabilization T.O.","H subst for","","3/29/2016","Dunshee"
"HB 2989","","Career & tech. ed. materials","H Approps","","2/22/2016","Reykdal"
"HB 2990","f","Extracted fuel use tax","H Finance","","2/22/2016","Peterson"
"HB 2991","f","Real estate loans tax ded.","H Finance","","2/22/2016","Farrell"
"HB 2992","f","Large private airplane taxes","H Finance","","2/22/2016","Frame"
"HB 2993","f","International banking taxes","H Finance","","2/22/2016","Riccelli"
"HB 2994","f","Aerospace tax incentives","H Finance","","2/22/2016","Robinson"
"HB 2995","","Four-year balanced budget","H Approps","","2/23/2016","Dunshee"
"HB 2996","f#","Tax preferences/K-12 funding","H Rules R","","2/29/2016","Lytton"
"HB 2997","","Public transp. agreements","H Trans","","2/26/2016","Pike"
"HB 2998","f","Marijuana markets","H Commerce & Gam","","2/26/2016","Hurst"
"HB 2999","","Medical imaging tax incent.","H Finance","","2/26/2016","Pike"
"HB 3000","","Education T.O.","H Education","","2/26/2016","Springer"
"HB 3001","","High school graduation T.O.","H Education","","2/29/2016","Reykdal"
"HB 3002","","Charter schools T.O.","H Education","","2/29/2016","Springer"
"HB 3003","","Wages by paper check","H Labor & Workpl","","3/2/2016","Taylor"
"HB 3004","","Abandoned cemeteries","H State Governmen","","3/3/2016","Orcutt"
"HB 3005","","District legislative offices","H State Governmen","","3/7/2016","Young"
"HB 3006","","Balanced budget/ed. levies","H Approps","","3/8/2016","Dunshee"
"HB 3007","","School sports/rights","H Judiciary","","3/9/2016","Young"
"HB 3008","","State agency land purchases","H Cap Budget","","3/9/2016","Haler"
"HB 3009","","Morning foods/instruct. hrs","H 2nd Reading","","3/28/2016","Hudgins"
"HJM 4000","","Free and fair elections","H Rules 3C","","3/10/2016","Reykdal"
"HJM 4001","","Daylight savings time","H State Governme","","1/12/2015","Schmick"
"HJM 4002","","Wolf conserv. and mgmt plan","H Ag & Nat Res","","1/28/2015","Kretz"
"HJM 4003","","Parental rights amendment","H Judiciary","","1/28/2015","Shea"
"HJM 4004","","Elections, money spent on","H Rules R","","2/20/2015","Wylie"
"HJM 4005","","Ports/ag, food, timber","H Labor","","2/3/2015","Dent"
"HJM 4006","","New state in E. Washington","H State Governmen","","2/4/2015","Shea"
"HJM 4007","","Transatlantic partnership","H Rules R","","2/20/2015","Morris"
"HJM 4008","","Israel's right to exist","H State Governme","","2/11/2015","Klippert"
"HJM 4009","","Global climate change","H Environment","","1/11/2016","Fitzgibbon"
"HJM 4010","af","WP Stewart mem highway/SR-99","H Filed Sec/St","","3/10/2016","Dunshee"
"HJM 4011","","Fossil fuels industries","H Environment","","7/2/2015","Shea"
"HJM 4012","","FDA blood donation guidance","H HC/Wellness","","1/12/2016","Moeller"
"HJM 4013","","Constitutional convention","H State Governme","","1/15/2016","Manweller"
"HJM 4014","","Salmon & steelhead reintro.","H Ag & Nat Res","","1/28/2016","Stanford"
"HJM 4015","f","SR 529 bridge naming","H Trans","","2/18/2016","Fey"
"HJR 4200","","Electronic communications","H Judiciary","","1/15/2015","Taylor"
"HJR 4201","","Supreme crt election distr's","H Judiciary","","1/19/2015","Haler"
"HJR 4202","","Community redevel. financing","H Comm Dev, Hous","","1/19/2015","Springer"
"HJR 4203","f","Breach of info tech systems","H Approps","","1/22/2015","Hudgins"
"HJR 4204","","Initiative measures","H State Governme","","1/26/2015","Kagi"
"HJR 4205","","Local govt public works","H Approps","","1/26/2015","Pike"
"HJR 4206","","Tax increase restrictions","H Finance","","1/27/2015","Orcutt"
"HJR 4207","","Supreme crt/law and justice","H Judiciary","","1/28/2015","Shea"
"HJR 4208","","People's business, access","H State Governmen","","1/30/2015","Pollet"
"HJR 4209","","Balanced budget","H Cap Budget","","2/2/2015","Scott"
"HJR 4210","f","School district bonds/voting","H Education","","2/3/2015","Gregerson"
"HJR 4211","","Supreme court districts","H Judiciary","","2/9/2015","Manweller"
"HJR 4212","","Public safety/paramount duty","H Approps","","1/19/2016","Klippert"
"HJR 4213","","Const. amendment on taxes","H Finance","","1/20/2016","Shea"
"HJR 4214","","2/3 vote for tax increases","H Finance","","1/20/2016","Shea"
"HJR 4215","","2/3rd vote for tax increases","H Finance","","1/25/2016","Orcutt"
"HJR 4216","","Eliminating OSPI","H Gen Govt & Inf","","1/29/2016","Sullivan"
"HJR 4217","","Supreme Court terms","H Judiciary","","2/5/2016","Shea"
"HCR 4400","","State of state/joint session","H Filed Sec/St","","1/13/2015","Sullivan"
"HCR 4401","d","Office Building 2, renaming","H Rules 3C","","3/10/2016","Hunt, S."
"HCR 4402","","Legislature joint rules","H Filed Sec/St","","1/13/2015","Sullivan"
"HCR 4403","","State medals of merit, valor","H Filed Sec/St","","2/27/2015","Sullivan"
"HCR 4404","","Bills/to house of origin","H Filed Sec/St","","4/24/2015","Sullivan"
"HCR 4405","","Adjourning SINE DIE","H Filed Sec/St","","4/24/2015","Sullivan"
"HCR 4406","","Special session bill status","H Filed Sec/St","","7/21/2015","Sullivan"
"HCR 4407","","Bills/to house of origin","H Filed Sec/St","","5/28/2015","Sullivan"
"HCR 4408","","Adjourning SINE DIE","H Filed Sec/St","","5/28/2015","Sullivan"
"HCR 4409","","Bills/to house of origin","H Filed Sec/St","","6/27/2015","Sullivan"
"HCR 4410","","Adjourning SINE DIE","H Filed Sec/St","","6/27/2015","Sullivan"
"HCR 4411","","Bills/to house of origin","H Filed Sec/St","","7/10/2015","Sullivan"
"HCR 4412","","Adjourning SINE DIE","H Filed Sec/St","","7/10/2015","Sullivan"
"HCR 4413","","Bill status for 2016 session","H Filed Sec/St","","1/12/2016","Sullivan"
"HCR 4414","","State of state/joint session","H Filed Sec/St","","1/12/2016","Sullivan"
"HCR 4415","o","2016 workforce training plan","H Rules X","","3/8/2016","Sells"
"HCR 4416","","Bills/to house of origin","H Filed Sec/St","","3/10/2016","Sullivan"
"HCR 4417","","Adjourning SINE DIE","H Filed Sec/St","","3/10/2016","Sullivan"
"HCR 4418","","Bills/to house of origin","H Filed Sec/St","","3/29/2016","Sullivan"
"HCR 4419","","Adjourning SINE DIE","H Filed Sec/St","","3/29/2016","Sullivan"
"SSB 5004","a","Warrant officers' authority","C 288 L 15","","5/18/2015","Angel"
"SB 5011","a","Health care info release","C 289 L 15","","5/18/2015","Becker"
"SB 5015","f","Dairy inspection program","C 5 L 15 E1","","6/10/2015","Honeyford"
"SSB 5023","f","Group health benefit plans","C 19 L 15","","4/17/2015","Parlette"
"SB 5024","afd","Conforming amendments/govt","C 225 L 15","PV","5/11/2015","Benton"
"SSB 5027","af","Prescription drug monitoring","C 259 L 15","","5/14/2015","Angel"
"ESSB 5029","ao","Digital assets, access to","C 140 L 16","","3/31/2016","Pedersen"
"SSB 5030","ao","Limited liability companies","C 188 L 15","","5/7/2015","Pedersen"
"SB 5031","o","Advance action/bus. corp act","C 20 L 15","","4/17/2015","Pedersen"
"SB 5032","","Lease, security interest/UCC","C 107 L 15","","4/25/2015","Pedersen"
"SB 5035","fe","Medal of valor","C 4 L 15","","3/2/2015","Pearson"
"SB 5046","fo","Traffic safety commission","C 206 L 16","","4/1/2016","Padden"
"ESSB 5048","a#","Water-sewer districts","C 172 L 15","","5/6/2015","Chase"
"2SSB 5052","af#","Cannabis patient protection","C 70 L 15","PV","4/24/2015","Rivers"
"SSB 5059","d","Patent infringement claims","C 108 L 15","","4/25/2015","Frockt"
"SB 5070","af#","Domestic violence offenders","C 290 L 15","","5/18/2015","Pearson"
"SB 5075","d","Procurement law","C 79 L 15","","4/24/2015","Baumgartner"
"SB 5079","f","Child abuse/military parents","C 6 L 15 E1","","6/10/2015","O'Ban"
"ESSB 5083","f","Sudden cardiac arrest","C 26 L 15","","4/17/2015","McAuliffe"
"ESSB 5084","afe","All payer claims database","C 246 L 15","","5/14/2015","Becker"
"SB 5085","af","Gold star license plates","C 208 L 15","","5/8/2015","Rolfes"
"SB 5088","fd","Geological hazard assessment","C 12 L 15","","4/17/2015","Pearson"
"SB 5100","af#","Rental cars/traffic infrac's","C 189 L 15","","5/7/2015","Hobbs"
"SB 5101","","Mental status evaluation","C 80 L 15","","4/24/2015","Padden"
"SB 5104","","Alcohol, contr sub/sentences","C 81 L 15","","4/24/2015","Padden"
"SB 5107","af#","Therapeutic courts","C 291 L 15","","5/18/2015","Padden"
"E2SSB 5109","af#","Infrastructure/local govt","C 207 L 16","","4/1/2016","Brown"
"SB 5119","f","Nonprofit risk pools","C 109 L 15","","4/25/2015","Angel"
"SB 5120","f","School district dissolutions","C 82 L 15","","4/24/2015","Parlette"
"SB 5121","f","Marijuana research license","C 71 L 15","","4/24/2015","Kohl-Welles"
"SB 5122","","Precollege placement","C 83 L 15","","4/24/2015","Kohl-Welles"
"SB 5125","a","District court civil jurisd.","C 260 L 15","","5/14/2015","Padden"
"SB 5139","","Buildings, 4 or more stories","C 226 L 15","","5/11/2015","Roach"
"SB 5143","f","Childhood immunizations","C 141 L 16","","3/31/2016","Becker"
"SB 5144","f","Robert Bree collaborative","C 21 L 15","","4/17/2015","Dammeier"
"ESSB 5145","f","Health tech clinical comm.","C 1 L 16 E1","V","3/29/2016","Dammeier"
"SSB 5147","af","Medicaid population's health","C 209 L 15","","5/8/2015","Becker"
"SSB 5154","af#","Reg. sex or kidnap offenders","C 261 L 15","","5/14/2015","Hargrove"
"SSB 5156","","Elevators, etc./real estate","C 110 L 15","","4/25/2015","Keiser"
"ESSB 5158","af#","Call location info/emergency","C 190 L 15","","5/7/2015","McCoy"
"SSB 5163","af","Students/military families","C 210 L 15","","5/8/2015","Hobbs"
"SSB 5165","f","Palliative care coverage","C 22 L 15","","4/17/2015","Angel"
"SSB 5166","af","Forage fish management","C 191 L 15","","5/7/2015","Rolfes"
"SSB 5175","f","Telemedicine","C 23 L 15","","4/17/2015","Becker"
"SB 5176","","Capitol furnishings pres com","C 24 L 15","","4/17/2015","Keiser"
"2E2SSB 5177","fd#","Forensic mental hlth srvices","C 7 L 15 E1","","6/10/2015","O'Ban"
"SB 5180","afo","Life insurance reserve req's","C 142 L 16","","3/31/2016","Benton"
"SSB 5186","f#","Sr's, disab. vets/prop tx ex","C 30 L 15 E3","","7/6/2015","Benton"
"SSB 5202","af","Financial education prtnrshp","C 211 L 15","","5/8/2015","Mullet"
"SB 5203","afd","Job order contracting","C 173 L 15","","5/6/2015","Warnick"
"SB 5207","f","Tow truck operators","C 227 L 15","","5/11/2015","Liias"
"SB 5210","fo","Life annuity benefit/WSPRS","C 111 L 15","","4/25/2015","Bailey"
"2SSB 5215","f","Internet crime against child","C 84 L 15","","4/24/2015","Roach"
"SB 5227","","Int. commercial arbitration","C 276 L 15","","5/18/2015","Baumgartner"
"SB 5238","f#","Public water systems","C 25 L 15","","4/17/2015","Angel"
"SB 5249","f","Local revital. finan. proj's","C 112 L 15","","4/25/2015","Darneille"
"2ESB 5251","fd","Public water syst assistance","C 111 L 16","","3/31/2016","Honeyford"
"ESB 5262","a","Juvenile case records","C 262 L 15","","5/14/2015","O'Ban"
"SB 5265","f","Public funds/recip. deposits","C 2 L 16 E1","V","3/29/2016","Benton"
"SSB 5268","","Eyedrop prescription refills","C 85 L 15","","4/24/2015","Parlette"
"E2SSB 5269","af#","Detention decision review","C 258 L 15","","5/14/2015","O'Ban"
"SB 5270","fd","Missing children/advisry brd","C 208 L 16","","4/1/2016","Roach"
"SSB 5275","f#","Tax code improvements","C 86 L 15","","4/24/2015","Schoesler"
"SSB 5276","af#","Property tax refund/errors","C 174 L 15","","5/6/2015","Kohl-Welles"
"SSB 5280","af","Beer, cider/grocery stores","C 192 L 15","","5/7/2015","Kohl-Welles"
"SB 5288","f","Real estate brokers","C 175 L 15","","5/6/2015","Braun"
"SSB 5292","af","Powdered alcohol","C 193 L 15","","5/7/2015","Roach"
"SSB 5293","f","Optometrists/hydrocodone use","C 113 L 15","","4/25/2015","Becker"
"SSB 5294","f","School library & tech progs","C 27 L 15","","4/17/2015","McAuliffe"
"SSB 5296","","Locksmith services","C 28 L 15","","4/17/2015","Conway"
"SB 5297","afd#","Commercial vehicles/fuel tax","C 228 L 15","","5/11/2015","Liias"
"SSB 5299","afo#","Residential mortgage lending","C 229 L 15","","5/11/2015","Benton"
"SB 5300","fo","Credit union enforcement/DFI","C 114 L 15","","4/25/2015","Benton"
"SB 5302","o","Trusts","C 115 L 15","","4/25/2015","Benton"
"SB 5307","af#","Deficit reimbursemnt/ferries","C 230 L 15","","5/11/2015","O'Ban"
"SB 5310","fo","Energy facilities/enforcemnt","C 39 L 15 E3","","7/14/2015","Ericksen"
"2SSB 5311","f#","Crisis intervention/officers","C 87 L 15","","4/24/2015","Rolfes"
"SB 5314","f#","Local stormwater charges/DOT","C 231 L 15","","5/11/2015","Benton"
"E2SSB 5315","fd","Aligning CTS, CIO, OFM, DES","C 1 L 15 E3","","6/30/2015","Roach"
"SSB 5317","f","Autism & developmntal delays","C 8 L 15 E1","","6/10/2015","Frockt"
"SSB 5322","f#","Conservation district rates","C 88 L 15","","4/24/2015","Hatfield"
"SSB 5328","a","Financial aid information","C 212 L 15","","5/8/2015","Kohl-Welles"
"SB 5337","","Port district per diem rates","C 29 L 15","","4/17/2015","Fraser"
