 , Total Compensation, Total Personal Expenses, Total Entertainment, Total Contributions, Total Advertising, Total Political Ads, Total Other Expenses, Totals
MACFARLANE LISA, 757.12, 747.49, 0.00, 0.00, 0.00, 0.00, 0.00, 1504.61
MACK EDEN, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
MACKENZIE RENA, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
MADSEN HILLARY, 2021.33, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 2021.33
MAEL RODNEY, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
MAGNANO ALLY, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
MAHER DENNIS, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
MAHER RENEE, 14000.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 14000.00
MAIER ROY, 473.62, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 473.62
MAIN RONALD, 73600.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 73600.00
MAKIN ROBERT, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
MALONE DAVE, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
MALONEY KELLY, 54166.66, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 54166.66
MANN MICHAEL, 7600.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 7600.00
MARGESON SARAH, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
MARIE SULLIVAN PUBLIC AFFAIRS* , 53750.00, 1107.88, 0.00, 0.00, 0.00, 0.00, 0.00, 54857.88
MARKLEY GREG, 1634.45, 0.00, 937.50, 0.00, 0.00, 0.00, 0.00, 2571.95
MARR CHRIS, 102000.00, 1879.39, 0.00, 0.00, 338.28, 0.00, 0.00, 104217.67
MARTIN TIMOTHY, 12980.00, 0.00, 0.00, 2500.00, 0.00, 0.00, 0.00, 15480.00
MARTIN FLYNN PUBLIC AFFAIRS INC* , 138000.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 138000.00
MASSE CHRISTINE, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
MASTIN J DAVID, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
MATSON TRENT, 12500.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 12500.00
MATTEUCCI JAMES, 24141.67, 0.00, 0.00, 3000.00, 0.00, 0.00, 0.00, 27141.67
MCALEENAN MELLANI, 6250.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 6250.00
MCBRIDE THOMAS, 7530.74, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 7530.74
MCBRIDE PUBLIC AFFAIRS LLC* , 348126.10, 368.00, 773.19, 0.00, 154.90, 0.00, 32083.30, 381505.49
MCBROOM MO, 4750.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 4750.00
MCCABE CHRISTIAN, 10037.65, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 10037.65
MCCAUSLAND JENNIFER, 10000.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 10000.00
MCCLAIN CHRIS, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
MCCLURE GREGORY, 1872.50, 0.00, 44.41, 0.00, 0.00, 0.00, 0.00, 1916.91
MCCOMB LEN, 175000.00, 5296.60, 0.00, 0.00, 0.00, 0.00, 0.00, 180296.60
MCCOY JOHN, 2530.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 2530.00
MCDAID-O'NEILL TRISH, 42249.00, 0.00, 515.71, 0.00, 0.00, 0.00, 0.00, 42764.71
MCDONALD JOSH, 15000.00, 0.00, 0.00, 2300.00, 0.00, 0.00, 0.00, 17300.00
MCELDERRY ROBERT, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
MCGAFFICK GAIL TORAASON, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
MCGIFFERT ELIZABETH, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
MCGRADY DAN, 38000.00, 0.00, 486.50, 4250.00, 0.00, 0.00, 0.00, 42736.50
MCGRATH ANNE, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
MCHALE MARY, 950.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 950.00
MCKAGUE JEANETTE, 22500.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 22500.00
MCKENNA ROBERT, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
MCKENZIE JENNA, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
MCLEAN BRIAN, 0.00, 39.00, 0.00, 0.00, 0.00, 0.00, 0.00, 39.00
MCMAHAN JAMES, 8999.09, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 8999.09
MCMURRAN LEWIS, 10500.00, 2665.28, 90.00, 0.00, 0.00, 0.00, 0.00, 13255.28
MCSHERRY WILLIAM, 29396.00, 388.47, 0.00, 0.00, 0.00, 0.00, 0.00, 29784.47
MEAD KIMBERLEE, 1855.23, 0.00, 0.00, 2097.22, 0.00, 0.00, 0.00, 3952.45
MEEKS TRACEY, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
MELANIE STEWART & ASSOC LLC* , 153150.00, 0.00, 0.00, 0.00, 0.00, 0.00, 11400.00, 164550.00
MELE SUELLEN, 3080.16, 0.00, 0.00, 0.00, 0.00, 0.00, 149.04, 3229.20
MERLIN ADVOCATES LLC* , 13206.00, 653.00, 0.00, 0.00, 0.00, 0.00, 0.00, 13859.00
MICHAL KRISTEN, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
MICHENER DAVID, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
MIELKE TODD, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
MILES NATE, 7500.00, 6025.05, 0.00, 0.00, 0.00, 0.00, 0.00, 13525.05
MILLENNIA PUBLIC AFFAIRS INC* , 226583.30, 0.00, 0.00, 1000.00, 0.00, 0.00, 16000.00, 243583.30
MILLER ADRIAN, 1300.00, 0.00, 0.00, 1000.00, 0.00, 0.00, 0.00, 2300.00
MILLER ASH, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
MILLER BRIAN, 13930.98, 544.09, 5444.63, 0.00, 0.00, 0.00, 0.00, 19919.70
MILLER MATT, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
MILLER STEPHEN, 43.02, 0.00, 0.00, 1677.78, 0.00, 0.00, 0.00, 1720.80
MILLER MALONE & TELLEFSON PS* , 179386.78, 0.00, 132.90, 0.00, 0.00, 0.00, 0.00, 179519.68
MILLER NASH GRAHAM & DUNN LLP* , 76000.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 76000.00
MINICKIELLO MARK, 15000.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 15000.00
MINNICH BRIAN, 3750.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 3750.00
MINNICK CHAD, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
MITCHELL ROBERT, 20800.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 20800.00
MIZRAHI JOSEPH, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
MJB CONSULTING* , 122458.30, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 110241.64
MOATS EDWIN, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
MOODY RICHARD, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
MOONEY SHELBY, 80.70, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 80.70
MOORE ABBY, 42500.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 33500.00
MORAN MICHAEL, 32500.00, 0.00, 0.00, 4750.00, 0.00, 0.00, 0.00, 37250.00
MOREHOUSE LANCE, 283.95, 60.65, 0.00, 0.00, 0.00, 0.00, 0.00, 344.60
MORRIS CAREY, 59907.35, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 59907.35
MORSE KEN, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
MOSQUEDA TERESA, 6063.36, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 6063.36
MULLIN STEPHEN, 4560.00, 0.00, 2310.54, 0.00, 0.00, 0.00, 0.00, 6870.54
MUNGUIA DEBORA, 12700.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 12700.00
MURAHASHI CATHERINE, 86.40, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 86.40
MURPHY DEBORAH, 23998.65, 0.00, 0.00, 0.00, 0.00, 0.00, 25566.74, 49565.39
MURPHY EMILY, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
MURPHY LAURA, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
MURRAY BRIAHNA, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
MYERS STEVE, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
NARAYAN SHANKAR, 37500.00, 0.00, 0.00, 0.00, 0.00, 0.00, 406.20, 37906.20
NASMAN LINNEA, 1587.44, 306.78, 519.75, 0.00, 179.82, 0.00, 0.00, 2593.79
NAVAS SHARONNE, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
NAVIGATION GROUP LLP* , 22500.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 22500.00
NELSEN MAXFORD, 2400.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 2400.00
NELSON CARL, 875.00, 0.00, 1400.00, 0.00, 0.00, 0.00, 0.00, 2275.00
NELSON DOUGLAS, 30650.61, 2715.82, 244.64, 0.00, 0.00, 0.00, 0.00, 33611.07
NELSON GRANT, 142000.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 142000.00
NELSON MICHAEL, 0.00, 0.00, 0.00, 325000.00, 0.00, 0.00, 0.00, 325000.00
NELSON SCOTT, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
NELSON SHERI, 25300.01, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 25300.01
NELSON THOMAS, 5680.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 5680.00
NEPOMUCENO ANNA, 2640.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 2640.00
NESTERENKO DMYTRO, 28767.38, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 28767.38
NEWGENT LEE, 29255.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 29255.00
NEWMAN TRACY, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
NEXUS GROUP* , 69123.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 69123.00
NICHOLAS ANDREW, 363.84, 422.12, 0.00, 0.00, 0.00, 0.00, 0.00, 785.96
NIELSEN PAUL, 8070.00, 2822.00, 241.00, 0.00, 0.00, 0.00, 0.00, 11133.00
NOE NANCY, 2400.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 2400.00
NONEMACHER DARCY, 3441.67, 3278.88, 0.00, 0.00, 0.00, 0.00, 0.00, 6720.55
NORTHWEST POLICY GROUP* , 7900.00, 0.00, 19.00, 0.00, 0.00, 0.00, 0.00, 7919.00
NOTHNAGLE DARCY, 5500.60, 75.06, 18.00, 250.00, 0.00, 0.00, 0.00, 5843.66
O'BAN THOMAS, 5000.00, 100.00, 0.00, 0.00, 0.00, 0.00, 0.00, 5100.00
O'BRIEN MICHAEL, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
O'KEEFE GERALD, 15408.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 15408.00
O'NEILL KEVIN, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
O'SULLIVAN SEAN, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
ODELL NINA, 11726.00, 686.16, 0.00, 0.00, 0.00, 0.00, 0.00, 12412.16
OKAZAKI MARK, 2485.00, 200.88, 0.00, 0.00, 0.00, 0.00, 0.00, 2685.88
OLIVERI VINCE, 21250.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 21250.00
OLSON JOHN, 2500.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 2500.00
OLYMPIA CONSULTING LLC* , 1500.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1500.00
ONDRACEK KATRINA, 4756.22, 336.42, 0.00, 0.00, 0.00, 0.00, 0.00, 5092.64
OOMMEN MARC, 5160.00, 1126.54, 0.00, 0.00, 185.08, 0.00, 0.00, 6471.62
ORDWAY FRANK, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
ORRICK HERRINGTON & SUTCLIFFE LLP , 10000.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 10000.00
ORVELLA CHELSEA, 2160.00, 0.00, 0.00, 0.00, 0.00, 0.00, 3720.00, 5880.00
OSBORN-HINMAN CASEY, 116.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 116.00
OSBORNE NANCY, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
OUTCOMES BY LEVY LLC* , 211999.98, 9766.83, 1926.00, 0.00, 0.00, 0.00, 18000.01, 241692.82
OVERSTREET STEPHEN H G, 7500.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 7500.00
OYSTER BAY PUBLIC AFFAIRS* , 105470.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 105470.00
PACIFIC NW REGIONAL STRATEGIES LLC* , 11675.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 11675.00
PAGUNURAN ABNER, 1368.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1368.00
PAM CRONE LEGISLATIVE CONSULTING SVCS* , 83197.83, 0.00, 0.00, 0.00, 0.00, 0.00, 22400.00, 103897.80
PARIKH SEJAL, 0.00, 0.00, 0.00, 336.61, 0.00, 0.00, 0.00, 336.61
PARK SHARON, 112.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 112.00
PARKER THOMAS, 237658.75, 0.00, 0.00, 0.00, 0.00, 0.00, 7000.00, 244658.75
PATASHNIK MAXIMA, 9466.00, 1213.82, 0.00, 0.00, 315.00, 0.00, 0.00, 10994.82
PATRICK DUNN & ASSOCIATES LTD* , 39500.00, 0.00, 0.00, 3500.00, 0.00, 0.00, 0.00, 43000.00
PAUL DANIEL, 317.40, 182.64, 0.00, 0.00, 0.00, 0.00, 0.00, 500.04
PAULEY MICHAEL, 7500.00, 596.80, 0.00, 0.00, 0.00, 0.00, 0.00, 8096.80
PECK KRAIG, 0.00, 0.00, 0.00, 1420.15, 0.00, 0.00, 0.00, 1420.15
PERNA ROBERT, 822.51, 76.00, 0.00, 0.00, 0.00, 0.00, 0.00, 898.51
PERRICK THOMAS, 1373.75, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1373.75
PETERSEN SUZANNE, 3645.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 3645.00
PETERSON SVEN, 997.50, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 997.50
PETRIE SEAMUS, 8884.56, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 8884.56
PETRO DOUGLAS, 0.00, 0.00, 0.00, 59.27, 0.00, 0.00, 416.24, 475.51
PFINGST LORI, 584.14, 352.13, 0.00, 0.00, 0.00, 0.00, 0.00, 936.27
PHIL WATKINS PUBLIC AFFAIRS INC* , 875.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 875.00
PHILLIPS LEE, 3211.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 3211.00
PIAZZA ANNE, 370.00, 0.00, 558.00, 0.00, 0.00, 0.00, 0.00, 928.00
PIERCE LAURA, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
PIERCE CONSULTING SVCS LLC* , 200487.50, 335.53, 3251.07, 54.61, 0.00, 0.00, 21137.50, 247766.21
PIERSON TOM, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
PLACK SCOTT, 4250.00, 892.00, 186.07, 0.00, 0.00, 0.00, 0.00, 5328.07
PLAUCHE & CARR LLP* , 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
POLICY SOLUTIONS* , 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
POTTS JAMES, 20445.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 20445.00
POTTS & ASSOC* , 11618.75, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 11618.75
POWELL DAVID, 5826.71, 978.56, 0.00, 0.00, 0.00, 0.00, 0.00, 6805.27
PRASAD SHIRLEY, 2936.75, 0.00, 0.00, 0.00, 0.00, 4071.25, 0.00, 7008.00
PRICCO RYAN, 10203.77, 985.02, 0.00, 0.00, 0.00, 0.00, 0.00, 11188.79
PRINCIPLED SOLUTIONS* , 40000.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 40000.00
PROVENZANO GREGORY, 501.25, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 501.25
PUBLIC AFFAIRS OF WA LLC* , 166373.92, 15081.95, 212.00, 0.00, 0.00, 0.00, 0.00, 181667.87
PURKEY KRYSTELLE, 15500.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 15500.00
PURSLEY LARRY, 14583.35, 0.00, 0.00, 1000.00, 0.00, 0.00, 0.00, 15583.35
PUTLER J BRIAN, 144.24, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 144.24
QUACKENBUSH TARA, 0.00, 0.00, 0.00, 1500.00, 0.00, 0.00, 0.00, 1500.00
RADER-KONOFALSKI WENDY, 27044.21, 817.95, 66.95, 477.96, 0.00, 0.00, 0.00, 28407.07
RALSTON ALAN, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
RAUGHTER MICHAEL, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
RAY JANET, 250.00, 65.00, 0.00, 0.00, 0.00, 0.00, 0.00, 315.00
RAY RANDALL, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
READING TACY, 15816.65, 493.89, 0.00, 0.00, 0.00, 0.00, 0.00, 16310.55
REANDEAU NOAH, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
REESE SHIRLEY, 21346.35, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 21346.35
REEVES MICHELLE, 9000.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 9000.00
REGAN JAMES, 2531.30, 67.50, 0.00, 24035.30, 0.00, 0.00, 16072.72, 42706.82
REIDY ERIN, 1666.66, 0.00, 0.00, 0.00, 0.00, 606.25, 0.00, 2272.91
REILLY GERALD, 25000.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 25000.00
RICHARDS G SCOTT, 34500.00, 466.96, 0.00, 0.00, 0.00, 0.00, 0.00, 34966.96
RIFE BRITTON, 4200.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 4200.00
RILEY JAMES, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1500.00, 1500.00
ROB MAKIN CONSULTING* , 182500.00, 1284.01, 2677.17, 1349.90, 0.00, 0.00, 30000.00, 217811.08
ROBINSON STEVE, 18000.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 18000.00
RODRIGUEZ HORACIO, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
ROEDER KAY, 0.00, 0.00, 2256.29, 0.00, 0.00, 0.00, 0.00, 2256.29
ROTHLIN JOHN, 67708.88, 2477.07, 1429.75, 3500.00, 0.00, 0.00, 0.00, 75115.70
ROWE GARY, 3306.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 3306.00
ROWLAND JAMES, 93609.60, 0.00, 3317.97, 0.00, 0.00, 0.00, 13531.34, 107140.94
RYAN KATHARINE, 20018.00, 16.50, 0.00, 0.00, 0.00, 0.00, 0.00, 20034.50
RYHERD ANN, 5000.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 5000.00
RYHERD MAJKEN, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
SALVI JULIE, 24514.08, 335.00, 0.00, 2407.08, 0.00, 0.00, 0.00, 27256.16
SANDERS CLAUDIA, 581.30, 79.25, 0.00, 0.00, 0.00, 0.00, 0.00, 660.55
SANDERS KIM, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
SANTKUYL LIESL, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
SAPIRO NANCY, 31100.00, 0.00, 0.00, 0.00, 0.00, 0.00, 4050.00, 35150.00
SAUER CASSIE, 3100.00, 1824.40, 0.00, 5100.00, 0.00, 0.00, 0.00, 10024.40
SCHAEFER BEVERLY, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
SCHAUB G S DUKE, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
SCHELLBERG TIMOTHY, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
SCHILTER ANNA, 600.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 600.00
SCHLATTER JOHN, 12500.00, 0.00, 74.14, 0.00, 0.00, 0.00, 0.00, 12574.14
SCHRADER MEGAN, 13517.63, 248.40, 247.79, 0.00, 0.00, 0.00, 0.00, 14013.82
SCHROEDER CARL, 1112.19, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1112.19
SCHURKE JUDY, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
SCHUTZLER MICHAEL, 45000.00, 841.79, 0.00, 0.00, 0.00, 0.00, 0.00, 45841.79
SCHWISOW MICHAEL, 51752.10, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 51752.10
SCOTT KIMBERLY, 9600.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 9600.00
SCOTT RANDY, 21698.32, 0.00, 380.00, 0.00, 0.00, 0.00, 0.00, 21718.32
SCOTT WILLIAM, 8000.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 8000.00
SEFFERNICK AUBREY, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
SEIB JONATHAN, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
SEIB PATRICIA, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
SEIB POLICY & PUBLIC AFFAIRS* , 91800.00, 527.92, 0.00, 0.00, 0.00, 0.00, 1200.00, 93527.92
SEIDEL NOAH, 800.00, 0.00, 0.00, 0.00, 300.00, 0.00, 0.00, 1100.00
SEIP CARL, 369.00, 382.39, 0.00, 0.00, 0.00, 0.00, 0.00, 751.39
SELLS JILL, 84.89, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 84.89
SENTER WAYNE, 10575.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 10575.00
SEPPI BRIAN, 113.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 113.00
SHAFFER JOHN, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
SHANNON LARRY, 34500.00, 3150.82, 128.15, 0.00, 0.00, 0.00, 0.00, 37778.97
SHAW MICHAEL, 198166.65, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 198166.65
SHEA MCCANN ERIN, 2058.84, 991.79, 0.00, 0.00, 0.00, 0.00, 0.00, 3050.63
SHEFFELS EVAN, 20000.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 20000.00
SHEPARD JEB, 22100.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 22100.00
SHOEMAKE JAMES, 36093.75, 1397.64, 0.00, 0.00, 0.00, 0.00, 0.00, 37491.39
SHOEMAKER DELEE, 15000.00, 3393.56, 559.07, 76000.00, 0.00, 0.00, 0.00, 94952.63
SIGER STEVEN, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
SIGMON SCOTT, 139500.00, 974.98, 0.00, 0.00, 0.00, 0.00, 0.00, 140474.98
SIMMONS ERIN, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
SIMPSON GEOFF, 11952.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 11952.00
SIMPSON STEPHANIE, 250.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 250.00
SINCLAIR RENEE, 0.00, 0.00, 1100.00, 0.00, 0.00, 0.00, 0.00, 1100.00
SIZEMORE BUD, 10415.00, 0.00, 937.50, 0.00, 0.00, 0.00, 0.00, 11352.50
SKOGMAN JAMES, 7500.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 7500.00
SLOVER GEORGE, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
SMITH ELISABETH, 491.55, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 489.75
SMITH GARY, 4000.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 4000.00
SMITH GLEN, 11000.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 11000.00
SMITH KELLI, 29.49, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 29.49
SMITH MELANIE, 34000.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 34000.00
SOLDANO ALEX, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
SOLWICK ANNE, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
SORENSEN MELVIN, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
SORRIN LEONARD, 1379.04, 0.00, 0.00, 88450.00, 0.00, 0.00, 2500.00, 92329.04
SORSCHER STAN, 2100.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 2100.00
SOUND VIEW STRATEGIES LLC* , 20000.00, 0.00, 0.00, 0.00, 0.00, 0.00, 12500.00, 32500.00
SPEIGHT BRUCE, 3043.85, 0.00, 0.00, 344.95, 0.00, 0.00, 0.00, 3388.80
SPENCER RUSS, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
SPILLER J RYAN, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
SPRAGUE K COLLINS, 5000.00, 9249.06, 52.11, 1000.00, 0.00, 0.00, 0.00, 14301.17
ST OURS LAURI, 4540.00, 0.00, 1317.06, 0.00, 0.00, 0.00, 0.00, 5857.06
STADDEN DIANA, 1500.00, 0.00, 150.00, 0.00, 300.00, 0.00, 0.00, 1950.00
STANLEY ZOSIA, 399.50, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 399.50
