Bill,Flags,Title,Status,Veto,Date,Original Sponsor,Committee Sponsor,Companion Bills,Last Roll Call,Latest Committee Recommendation,Sponsor (combined),Secondary Sponsor,This Committee Recommendation
"HB 2206","","Commercial sex abuse/a minor","H Public Safety","","3/24/2015","Klippert","","","","","Klippert","",""
"HB 2207","","Commercial sex abuse/a minor","H Public Safety","","3/24/2015","Klippert","","","","","Klippert","",""
"HB 2208","","Presidential electors","H State Governmen","","3/25/2015","Shea","","","","","Shea","Young",""
"HB 2209","","Driver's license applicants","H Trans","","3/25/2015","Hunt, G.","","","","","Hunt, G.","Young",""
"HB 2210","","State estate tax, repealing","H Finance","","3/25/2015","Young","","","","","Young","Hunt, G.",""
"HB 2211","f#","Vapor products taxation","H Finance","","1/11/2016","Pollet","","","","DPS10 DNP4 w/oRec1 (FIN 15)","Pollet","Ryu",""
"EHB 2212","f","Hospital certif of need/exem","C 22 L 15 E3","","7/6/2015","Cody","","SB 6086(S Health Care)","45-0-0-4","w/oRec11 (HLTH 15)","Cody","Schmick",""
"HB 2213","","Devel disabs/prevocational","H Erly Lrn/H Svc","","3/26/2015","Walsh","","","","","Walsh","Kilduff",""
"2EHB 2214","fo","HS student assessments","H subst for","","1/25/2016","Reykdal","","","92-6-0-0","DPS26 DNP5 w/oRec1 (APP 16)","Reykdal","Taylor",""
"HB 2215","","State land purchases","H Cap Budget","","3/27/2015","Taylor","","","","","Taylor","DeBolt",""
"HB 2216","","Radar devices/search warrant","H Public Safety","","3/27/2015","Taylor","","","","","Taylor","Hunt, G.",""
"HB 2217","f","Juvenile offender b. t. camp","C 23 L 15 E3","","7/6/2015","Hunter","","","47-0-0-2","DP26 DNP7 (APP 15)","Hunter","Sullivan",""
"HB 2218","","State expenditure limit","H Approps","","3/30/2015","Hunter","","","","","Hunter","Carlyle",""
"HB 2219","","Budget/basic ed enhancements","H Approps","","3/30/2015","Hunter","","","","","Hunter","Sullivan",""
"HB 2220","f","TANF, families receiving","H Approps","","3/30/2015","Hunter","","","","","Hunter","Sullivan",""
"HB 2221","f#","Long-term care violations","H Approps","","1/11/2016","Hunter","","","","DPS18 DNP14 (APP 15)","Hunter","Sullivan",""
"HB 2222","","Basic education funding","H Approps","","3/30/2015","Hunter","","","","","Hunter","Sullivan",""
"HB 2223","f","Extraordinary revenue growth","H Approps","","3/30/2015","Hunter","","","","","Hunter","Sullivan",""
"HB 2224","f","Excise tax system","H Finance","","3/30/2015","Carlyle","","","","","Carlyle","Hunter",""
"HB 2225","","Coal-fired generation units","H Tech &  Econ D","","3/31/2015","Smith","","","","","Smith","Schmick",""
"HB 2226","f","Spacecraft/aerosp. tax prefs","H Finance","","1/29/2016","Morris","","","","DPS12 (TED 16)","Morris","",""
"HB 2227","f","Recreational fishing","H Approps","","4/13/2015","Blake","","SB 6112(S Natural Resourc)","","","Blake","Kretz",""
"HB 2228","f#","Health information fees","H Approps","","4/15/2015","Sawyer","","","","","Sawyer","Cody",""
"HB 2229","","Excise tax/ed, pub serv T.O.","H Finance","","4/15/2015","Carlyle","","","","","Carlyle","",""
"HB 2230","","Excise tax/ed, pub serv T.O.","H Finance","","4/15/2015","Carlyle","","","","","Carlyle","",""
"HB 2231","","Fair mrket/ed, pub serv T.O.","H Finance","","4/15/2015","Carlyle","","","","","Carlyle","",""
"HB 2232","","Excise tax/ed, pub serv T.O.","H Finance","","4/15/2015","Carlyle","","","","","Carlyle","",""
"HB 2233","","Excise tax/ed, pub serv T.O.","H Finance","","4/15/2015","Carlyle","","","","","Carlyle","",""
"HB 2234","","Excise tax/ed, pub serv T.O.","H Finance","","4/15/2015","Carlyle","","","","","Carlyle","",""
"HB 2235","","Excise tax/ed, pub serv T.O.","H Finance","","4/15/2015","Carlyle","","","","","Carlyle","",""
"HB 2236","","Excise tax/ed, pub serv T.O.","H Finance","","4/15/2015","Carlyle","","","","","Carlyle","",""
"HB 2237","","Excise tax/ed, pub serv T.O.","H Finance","","4/15/2015","Carlyle","","","","","Carlyle","",""
"HB 2238","","Early childhood ed prog T.O.","H Approps","","4/15/2015","Hunter","","","","","Hunter","",""
"HB 2239","","Article IX obligations plan","H subst for","","6/26/2015","Hunter","","","","DPS18 DNP14 w/oRec1 (APP 15)","Hunter","Lytton",""
"HB 2240","","Ferry vessel constr. bidding","H Trans","","4/20/2015","Orcutt","","","","","Orcutt","Young",""
"HB 2241","","Coll bound sch, st need grnt","H Hi Ed","","4/23/2015","Hudgins","","SB 6113(S Higher Ed)","","","Hudgins","Walsh",""
"HB 2242","f","COBOL/st info tech employees","H Gen Govt & Inf","","4/23/2015","Hudgins","","","","","Hudgins","Magendanz",""
"HB 2243","","Info tech and cybersecurity","H Hi Ed","","4/23/2015","Hudgins","","","","","Hudgins","Magendanz",""
"HB 2244","","Cybersecurity student loans","H Hi Ed","","4/23/2015","Hudgins","","","","","Hudgins","Magendanz",""
"HB 2245","f","St. capital hist. museum/DES","H Gen Govt & Inf","","4/23/2015","Hudgins","","","","","Hudgins","Wilcox",""
"HB 2246","","Jnt admin rules review comm","H State Governmen","","4/23/2015","Hudgins","","","","","Hudgins","Taylor",""
"HB 2247","","Local community development","H Comm Dev, Housi","","4/24/2015","Wylie","","","","","Wylie","Tarleton",""
"HB 2248","","Special education students","H Education","","4/24/2015","Santos","","","","","Santos","Orwall",""
"HB 2249","","Elected official leave of ab","H State Governme","","4/29/2015","MacEwen","","","","","MacEwen","Stokesbary",""
"HB 2250","","Political contrib/sp leg ses","H State Governme","","4/30/2015","Stokesbary","","","","","Stokesbary","Magendanz",""
"HB 2251","f","Timber-felling equip tx exem","H Finance","","5/1/2015","Tharinger","","","","","Tharinger","Takko",""
"HB 2252","f","St capital historical museum","H Rules R","","2/9/2016","Hudgins","","","","DPS7 (GGIT 16)","Hudgins","Wilcox",""
"EHB 2253","","Jnt admin rules review comm","C 11 L 15 E2","","7/9/2015","Hudgins","","","44-0-0-5","","Hudgins","Taylor",""
"HB 2254","f","Social media safety/schools","H Education","","5/4/2015","Manweller","","","","","Manweller","Bergquist",""
"HB 2256","","Undisclosed campaign contrib","H State Governmen","","5/8/2015","Bergquist","","","","","Bergquist","Hunt, S.",""
"HB 2257","","Safe K-12 school plans","H Education","","5/8/2015","Pollet","","","","","Pollet","",""
"HB 2258","","Property tax levy limitation","H Finance","","5/28/2015","Haler","","","","","Haler","",""
"HB 2259","f#","Indecent exposure, crime of","H Gen Govt & Info","","1/26/2016","Klippert","","","","DPS7 (PS 16)","Klippert","Hayes",""
"HB 2260","f#","Sexual misconduct with minor","H Gen Govt & Info","","1/26/2016","Klippert","","","","DP7 (PS 16)","Klippert","Hayes",""
"HB 2261","","Utility customer backbilling","H Rules X","","2/26/2016","Shea","","","","DPS8 DNP4 (TED 16)","Shea","Reykdal",""
"HB 2262","f","Tennis special licnse plates","C 16 L 16","","3/25/2016","Bergquist","","","38-8-1-2","DP12 (TRAN 16)","Bergquist","Muri",""
"HB 2263","","Vulnerable people/services","H subst for","","6/26/2015","Springer","","","","DPS11 DNP3 (FIN 15)","Springer","Walkinshaw",""
"HB 2264","f#","Customer energy use info","C 21 L 15 E3","","7/6/2015","Smith","","","44-0-0-5","DP10 (TED 15)","Smith","Haler",""
"HB 2265","","Aerospace tax incentives","H Finance","","6/5/2015","Manweller","","","","","Manweller","Condotta",""
"EHB 2266","","Class size & school staffing","C 38 L 15 E3","","7/14/2015","Sullivan","","","33-11-0-5","DP23 DNP9 w/oRec1 (APP 15)","Sullivan","",""
"EHB 2267","","Expenditure limit & basic ed","C 29 L 15 E3","","7/6/2015","Hunter","","","33-11-0-5","DP22 DNP9 w/oRec2 (APP 15)","Hunter","",""
"HB 2268","","Budget stabil acct transfer","H Approps","","1/11/2016","Hunter","","","","DP24 DNP9 (APP 15)","Hunter","",""
"HB 2269","","Tax system/ed. pub serv T.O.","H Approps","","1/11/2016","Hunter","","","","DPS18 DNP15 (APP 15)","Hunter","Carlyle",""
"HB 2270","","Sentencing/property crimes","H Approps","","1/11/2016","Hudgins","","","","DPS18 DNP13 w/oRec1 (APP 15)","Hudgins","Walkinshaw",""
"HB 2271","","Elson S Floyd med school/WSU","H Hi Ed","","6/25/2015","Hunt, S.","","SB 6141(S Rules X)","","","Hunt, S.","Riccelli",""
"HB 2272","","Basic education obligation","H Approps","","6/25/2015","Magendanz","","","","","Magendanz","Wilcox",""
"HB 2273","","H-p avian influenza outbreak","H Ag & Nat Res","","6/26/2015","Buys","","","","","Buys","Blake",""
"HB 2274","f#","Abandoned vehicle sale rprts","H subst for","","2/12/2016","Harmsworth","","","","DPS23 (TR 16)","Harmsworth","Bergquist",""
"HB 2275","","Voluntary intoxication","H Judiciary","","6/27/2015","Klippert","","","","","Klippert","",""
"HB 2276","","Govt liability/law enf, DOC","H Judiciary","","6/27/2015","Klippert","","","","","Klippert","Hayes",""
"HB 2277","","Peace officer liability","H Judiciary","","6/27/2015","Klippert","","","","","Klippert","Hayes",""
"HB 2278","","Child restraint, safety belt","H Judiciary","","6/27/2015","Klippert","","","","","Klippert","",""
"HB 2279","#","Impaired driving prob. cause","H Public Safety","","6/27/2015","Klippert","","","","","Klippert","",""
"HB 2280","f#","Felony DUI as class B felony","C 87 L 16","","3/31/2016","Klippert","","","47-0-0-2","DP7 (LAW 16)","Klippert","Hayes",""
"HB 2281","f#","Vehicular homicide","H Gen Govt & Info","","1/26/2016","Klippert","","","","DPS7 (PS 16)","Klippert","",""
"HB 2282","","Detention standards","H Judiciary","","6/27/2015","Klippert","","","","","Klippert","",""
"HB 2283","","Person threatening to murder","H Judiciary","","6/27/2015","Klippert","","","","","Klippert","",""
"HB 2284","","Legal status in USA, proof","H Public Safety","","6/27/2015","Klippert","","","","","Klippert","",""
"HB 2285","","Family planning","H Rules X","","1/28/2016","Hunter","","","","","Hunter","Lytton",""
"EHB 2286","","Budget stabilization account","C 2 L 15 E3","","6/30/2015","Hunter","","","44-1-0-4","","Hunter","",""
"HB 2287","f#","Disability/emergency scene","H subst for","","2/15/2016","McCabe","","","","DPS(JUDI)30 DNP1 w/oRec1 (APP 16)","McCabe","Appleton",""
"HB 2288","","PS taxpayer accountblty acct","H Approps","","7/1/2015","Farrell","","","","","Farrell","Clibborn",""
"HB 2289","","I-405 express toll lanes","H Trans","","7/1/2015","Bergquist","","","","","Bergquist","Harmsworth",""
"HB 2290","","Public record request limits","H State Governme","","1/11/2016","MacEwen","","","","","MacEwen","Caldier",""
"HB 2291","","Min. wage calc. & youth wage","H Labor & Workpl","","1/11/2016","MacEwen","","","","","MacEwen","Haler",""
"HB 2292","","Ballots, name multiple times","H State Governme","","1/11/2016","MacEwen","","","","","MacEwen","Haler",""
"HB 2293","","Presidential electors","H State Governme","","1/11/2016","MacEwen","","","","","MacEwen","Muri",""
"HB 2294","","Abortions/public funds use","H HC/Wellness","","1/11/2016","Taylor","","","","","Taylor","Hunt, G.",""
"HB 2295","","Ed funding/fed. forest lands","H Approps","","1/11/2016","Rossetti","","","","","Rossetti","Orcutt",""
"HB 2296","f#","Pub. facilities district tax","H subst for","","2/11/2016","Rossetti","","","","DPS15 (FIN 16)","Rossetti","Orcutt",""
"HB 2297","","Surname changes when married","H Judiciary","","1/11/2016","Moeller","","","","","Moeller","Hunt, S.",""
"HB 2298","f","Domestic partnerships/PERS","H Rules 3C","","3/10/2016","Moeller","","","64-32-0-1","DP21 DNP8 w/oRec2 (APP 16)","Moeller","Sawyer",""
"HB 2299","f","Lobbying reports, electronic","H Rules R","","1/19/2016","Moeller","","","","DPS6 (SG 16)","Moeller","Stanford",""
"HB 2300","","Guardian ad litem privacy","H subst for","","2/17/2016","Moeller","","","","DPS6 (SG 16)","Moeller","Hunt, S.",""
"HB 2301","f","State need grant, rate used","H Hi Ed","","1/11/2016","Hargrove","","","","","Hargrove","Reykdal",""
"HB 2302","","Prosecutor, nonpartisan","H State Governme","","1/11/2016","Muri","","","","","Muri","Haler",""
"HB 2303","f#","Wildland urban interface","H Rules X","","2/26/2016","Van De Wege","","","","DPS5 DNP4 (LG 16)","Van De Wege","Dunshee",""
"HB 2304","f","Naturopaths, rx authority","H HC/Wellness","","1/11/2016","DeBolt","","","","","DeBolt","Schmick",""
"HB 2305","","Storage/personal property","H Rules R","","1/18/2016","Ryu","","SB 6148(C 6 L 16 E1)","","DP10 (BFS 16)","Ryu","Vick",""
"HB 2306","","Schools, offensive names","H Education","","1/11/2016","Sawyer","","","","","Sawyer","Stanford",""
"HB 2307","f","Pregnancy accommodations","H subst for","","2/4/2016","Farrell","","","","DPS4 DNP3 (LAWS 16)","Farrell","Senn",""
"HB 2308","","Master planned resorts","H Ag & Nat Res","","1/11/2016","Van De Wege","","","","","Van De Wege","",""
"HB 2309","fd#","Water pollution loans/term","C 88 L 16","","3/31/2016","Smith","","SB 6150(S Rules 3)","46-0-0-3","DP9 (EET 16)","Smith","Stanford",""
"HB 2310","","Fire prevention/2016","H Ag & Nat Res","","1/11/2016","Van De Wege","","","","","Van De Wege","Dunshee",""
"HB 2311","f","Admin. rules validity","H State Governme","","1/11/2016","Blake","","SB 6456(S Ways & Means)","","","Blake","Scott",""
"HB 2312","f","I-405 express toll lanes","H Trans","","1/11/2016","Harmsworth","","SB 6152(S Rules X)","","","Harmsworth","Bergquist",""
"HB 2313","fd#","Tobacco and vapor products","H Approps","","2/2/2016","Orwall","","SB 6157(S Commerce and L)","","DP9 DNP3 (HCW 16)","Orwall","Magendanz",""
"HB 2314","f#","Motor vehicle air bags","H Rules R","","1/28/2016","Goodman","","SB 6160(S subst for)","","DPS9 (PS 16)","Goodman","Hayes",""
"HB 2315","fo#","Mortgage lending fraud/acct.","H Rules 3C","","3/10/2016","Kirby","","SB 6282(C 7 L 16)","97-0-0-0","DP9 (FI 16)","Kirby","Blake",""
"HB 2316","fo","Securities act of WA","H Rules R","","1/18/2016","Kirby","","SB 6283(S subst for)","","DPS10 (BFS 16)","Kirby","Stanford",""
"HB 2317","f#","Electric vehicles/NEVs","C 17 L 16","","3/25/2016","Van De Wege","","","44-3-0-2","DP12 (TRAN 16)","Van De Wege","Tharinger",""
"HB 2318","","Wild animals exception/USDA","H Judiciary","","1/11/2016","Van De Wege","","","","","Van De Wege","Tharinger",""
"HB 2319","f","Continuity of care/Rx insur.","H Rules X","","2/26/2016","Jinkins","","SB 6209(S Health Care)","","DPS12 DNP2 w/oRec1 (HCW 16)","Jinkins","DeBolt",""
"HB 2320","f","Horse racing comm'n account","C 160 L 16","","4/1/2016","Stokesbary","","SB 6285(S subst for)","46-2-0-1","DP20 DNP1 (WM 16)","Stokesbary","Hurst",""
"HB 2321","f#","Fire authority formation","H Rules 3C","","3/10/2016","Stokesbary","","","73-24-0-1","DP5 (GOS 16)","Stokesbary","Reykdal",""
"HB 2322","","Rental car cost recovery fee","C 18 L 16","","3/25/2016","Zeiger","","","47-1-0-1","DP12 (TRAN 16)","Zeiger","",""
"HB 2323","f","Better life experience prog.","H subst for","","2/10/2016","Kilduff","","SB 6210(S subst for)","","DPS(ELHS)29 DNP2 w/oRec1 (APP 16)","Kilduff","Walsh",""
"HB 2324","f","Educational interpreters","H Education","","1/11/2016","Van De Wege","","","","","Van De Wege","Stanford",""
"HB 2325","","Firearms/hunting education","H Education","","1/11/2016","Muri","","SB 6515(S EL/K-12)","","","Muri","Haler",""
"HB 2326","f","Independent review orgs.","C 139 L 16","","3/31/2016","Moeller","","","40-8-0-1","DP9 w/oRec3 (HLTH 16)","Moeller","Appleton",""
"HB 2327","","Horse slaughter","H Judiciary","","1/11/2016","Appleton","","","","","Appleton","Kuderer",""
"HB 2328","","Breast health information","H HC/Wellness","","1/11/2016","Appleton","","SB 6146(S Health Care)","","","Appleton","Blake",""
"HB 2329","fo","Basic ed./caseload forecast","H Approps","","1/26/2016","Haler","","SB 6161(S Ways & Means)","","DPS13 (HE 16)","Haler","Reykdal",""
"HB 2330","f#","Electric vehicle charging","H Trans","","1/11/2016","Muri","","","","","Muri","Haler",""
"HB 2331","fd","Invasive species council","H Rules 3C","","3/10/2016","Chandler","","SB 6162(C 7 L 16 E1)","96-1-0-0","DP7 (NRP 16)","Chandler","Stanford",""
"HB 2332","fo","Health care provider comp.","C 122 L 16","","3/31/2016","Kirby","","SB 6167(S Health Care)","47-0-0-2","DP12 (HLTH 16)","Kirby","",""
"HB 2333","","PERS plan choice","H Approps","","1/11/2016","Reykdal","","","","","Reykdal","Hunt, S.",""
"HB 2334","f","Martial arts excise taxation","H subst for","","2/11/2016","Ryu","","SB 6184(S Ways & Means)","","DPS15 (FIN 16)","Ryu","Sawyer",""
"HB 2335","f","Health provider credentials","H subst for","","2/11/2016","Cody","","SB 6336(S Health Care)","","DP2S(w/o sub HCW)6 w/oRec1 (GGIT 16)","Cody","Appleton",""
"HB 2336","f","Workers' comp./claim closure","H Labor & Workpl","","1/11/2016","Manweller","","","","","Manweller","Haler",""
"HB 2337","f","Workers' comp./60-mnth limit","H Labor & Workpl","","1/11/2016","Manweller","","","","","Manweller","Haler",""
"HB 2338","f","Workers' comp./max med imprv","H Labor & Workpl","","1/11/2016","Manweller","","","","","Manweller","Haler",""
"HB 2339","f","Residential treatment","H Rules R","","1/19/2016","Moeller","","","","DPS13 (HCW 16)","Moeller","Appleton",""
"HB 2340","f","State health insurance pool","H subst for","","2/12/2016","Schmick","","SB 6271(S Health Care)","","DPS(HCW)33 (APP 16)","Schmick","Cody",""
"HB 2341","f#","DNA biological samples","H Rules X","","2/26/2016","Orwall","","","","DP2S(w/o sub PS)6 (GGIT 16)","Orwall","Kilduff",""
"HB 2342","","Liquor industry/retailers","H subst for","","2/17/2016","Hurst","","","","DPS5 DNP3 w/oRec1 (COG 16)","Hurst","",""
"HB 2343","f","Limited medical licenses","H HC/Wellness","","1/11/2016","Cody","","","","","Cody","Jinkins",""
"HB 2344","#","County ferry districts","H Rules R","","2/5/2016","Morris","","","","DPS18 DNP4 w/oRec2 (TR 16)","Morris","Lytton",""
"HB 2345","f","Combo heat & power systems","H Tech &  Econ D","","1/11/2016","Morris","","","","","Morris","Smith",""
"HB 2346","f#","Renewable energy promotion","H subst for","","2/16/2016","Morris","","","","DP2S(w/o sub TED)27 DNP5 (APP 16)","Morris","Smith",""
"HB 2347","f","Marijuana tax reduction","H Finance","","1/29/2016","Hurst","","","","DP9 (COG 16)","Hurst","Reykdal",""
"HB 2348","#","Local fireworks ordinances","H Rules R","","1/29/2016","Hawkins","","","","DPS5 DNP3 w/oRec1 (LG 16)","Hawkins","Gregerson",""
"HB 2349","","Renaming branch campuses","H Hi Ed","","1/11/2016","Haler","","","","","Haler","",""
"HB 2350","f","Medical assistants/Rx admin.","C 124 L 16","","3/31/2016","Cody","","","42-6-0-1","DP9 DNP1 (HLTH 16)","Cody","Jinkins",""
"HB 2351","","Cinnamon w/ high coumarin","H Ag & Nat Res","","1/11/2016","Stanford","","","","","Stanford","Ryu",""
"HB 2352","","Farmlands/riparian planting","H Ag & Nat Res","","1/11/2016","Stanford","","","","","Stanford","Fitzgibbon",""
"HB 2353","d","OPMA civil penalties","H Rules R","","1/29/2016","Hunt, S.","","SB 6171(C 58 L 16)","","DP4 DNP3 (SG 16)","Hunt, S.","Stokesbary",""
"HB 2354","","Assault weapons ban","H Judiciary","","1/11/2016","Moeller","","","","","Moeller","Hunt, S.",""
"HB 2355","f","Service contract providers","H subst for","","2/16/2016","Kirby","","SB 6309(S subst for)","92-6-0-0","DPS11 (BFS 16)","Kirby","Vick",""
"HB 2356","af","Employee personal vehicles","C 125 L 16","","3/31/2016","Kirby","","SB 6301(S subst for)","96-0-0-2","DPA9 (FI 16)","Kirby","Vick",""
"HB 2357","$fo","Pollution insurance agency","H subst for","","2/10/2016","Peterson","","SB 6187(S subst for)","","DPS(ENVI)9 (CB 16)","Peterson","Young",""
"HB 2358","","Water-sewer districts","H Rules R","","1/25/2016","Kochmar","","SB 6147(S Rules 3)","","DP9 (LG 16)","Kochmar","Gregerson",""
"HB 2359","o","Obsolete provisions","H subst for","","2/17/2016","Goodman","","","","DPS13 (JUDI 16)","Goodman","Jinkins",""
"HB 2360","f","Quality education council","C 162 L 16","","4/1/2016","Lytton","","","47-0-0-2","DP21 (WM 16)","Lytton","Magendanz",""
"HB 2361","f","School levy lid revs./delay","H Approps","","1/13/2016","Lytton","","SB 6353(S EL/K-12)","","","Lytton","Magendanz",""
"EHB 2362","af#","Recordings/law enf., etc.","C 163 L 16","","4/1/2016","Hansen","","","57-39-0-2","DPA6 (LAW 16)","Hansen","Pettigrew",""
"HB 2363","f","Rx drug cost and utilization","H HC/Wellness","","1/11/2016","Cody","","","","","Cody","Harris",""
"HB 2364","f","Marijuana business licensing","H Rules X","","2/26/2016","Wylie","","","","DP2S(w/o sub COG)6 (GGIT 16)","Wylie","Fitzgibbon",""
"HB 2365","f","Marijuana merchandise","H Rules R","","2/5/2016","Wylie","","","","DP8 DNP1 (COG 16)","Wylie","Hurst",""
"HB 2366","f","Basic education obligations","H subst for","","1/25/2016","Lytton","","SB 6195(S subst for)","","DPS21 DNP7 w/oRec4 (APP 16)","Lytton","Magendanz",""
"HB 2367","","Public non-common schools","H Education","","1/11/2016","Magendanz","","SB 6194(S subst for)","","","Magendanz","Springer",""
"HB 2368","f#","Marijuana delivery/pilot prg","H Rules X","","2/26/2016","Hurst","","","","DPS9 (COG 16)","Hurst","Condotta",""
"HB 2369","f#","Liquor enforcement officers","H Rules R","","2/11/2016","Hurst","","SB 6305(S Commerce and L)","","DP5 DNP4 (PS 16)","Hurst","",""
"HB 2370","f#","Fantasy sports games ban","H Commerce & Gam","","1/12/2016","Hurst","","","","","Hurst","Sawyer",""
"HB 2371","f#","Court use of JIS system","C 89 L 16","","3/31/2016","Kuderer","","","47-0-0-2","DP7 (LAW 16)","Kuderer","Magendanz",""
"HB 2372","f#","Firearm disposition/law enf.","H Judiciary","","1/12/2016","Senn","","","","","Senn","Kagi",""
"HB 2373","f","Student mental health","H Approps","","2/5/2016","Senn","","SB 6432(S EL/K-12)","","DPS18 DNP3 (ED 16)","Senn","Kagi",""
"HB 2374","f","Statewide ammunition fee","H Judiciary","","1/12/2016","Senn","","","","","Senn","Kagi",""
"HB 2375","f#","Cybercrime","H subst for","","2/16/2016","Magendanz","","SB 6197(S Rules X)","","DP2S(w/o sub PS)7 (GGIT 16)","Magendanz","Orwall",""
"HB 2376","fd","Operating sup budget 2016","H subst for","","2/25/2016","Dunshee","","SB 6246(S subst for)","","DPS18 DNP15 (APP 16)","Dunshee","Chandler",""
"HB 2377","","Schools/GMA","H Local Govt","","1/12/2016","Taylor","","","","","Taylor","Magendanz",""
"HB 2378","fd","Caseload forecast council","H Rules R","","2/9/2016","Stanford","","SB 6279(S Ways & Means)","","DPS29 DNP4 (APP 16)","Stanford","Chandler",""
"HB 2379","f#","Elder justice centers","H Approps","","2/1/2016","Moeller","","","","DP9 DNP4 (JUDI 16)","Moeller","Jinkins",""
"HB 2380","d","Supplemental capital budget","H subst for","","3/29/2016","Tharinger","","SB 6201(S subst for)","","DPS9 (CB 16)","Tharinger","DeBolt",""
"HB 2381","f","School counselors task force","H subst for","","2/15/2016","Ortiz-Self","","","","DPS15 DNP1 w/oRec3 (ED 16)","Ortiz-Self","Kilduff",""
"HB 2382","f","Teachers/alt. route programs","H Approps","","2/1/2016","Magendanz","","","","DPS18 DNP1 (ED 16)","Magendanz","Muri",""
"HB 2383","","Acupuncture/injured workers","H Labor & Workpl","","1/12/2016","Reykdal","","","","","Reykdal","Ormsby",""
"HB 2384","f#","Mobile telecom. providers","C 91 L 16","","3/31/2016","Buys","","","47-0-0-2","DP7 (LAW 16)","Buys","Wylie",""
"HB 2385","f#","Asphalt prod./air emissions","H Environment","","1/12/2016","Pollet","","","","","Pollet","Farrell",""
"HB 2386","","Public info on biosolid uses","H Ag & Nat Res","","1/12/2016","Pollet","","","","","Pollet","Van De Wege",""
"HB 2387","f","Flamethrowing devices","H Rules R","","2/2/2016","Hunt, S.","","","","DPS6 DNP3 (PS 16)","Hunt, S.","",""
"HB 2388","f","Theatrical wrestling","H Rules 3C","","3/10/2016","Hudgins","","","89-8-0-1","DPA7 (CL 16)","Hudgins","MacEwen",""
"HB 2389","","School-age child care","H Rules R","","1/26/2016","Kagi","","","","DP9 w/oRec1 (ELHS 16)","Kagi","Walsh",""
"HB 2390","fd","National guard empl. rights","H Rules 3C","","3/10/2016","Klippert","","SB 6202(C 12 L 16)","98-0-0-0","DP5 (GOS 16)","Klippert","Orwall",""
"HB 2391","#","County payroll draw days","C 126 L 16","","3/31/2016","McCabe","","SB 6155(S Rules 3)","48-0-0-1","DP5 (GOS 16)","McCabe","Appleton",""
"HB 2392","","Pesticide exposure","H HC/Wellness","","1/13/2016","Ortiz-Self","","SB 6507(S Ag/Water/RurEc)","","","Ortiz-Self","Walkinshaw",""
"HB 2393","f#","Motorcycle liability ins.","H Bus & Fin Svcs","","1/20/2016","Farrell","","","","","Farrell","",""
"HB 2394","af","Parent to parent program","C 92 L 16","","3/31/2016","Walsh","","SB 6329(S subst for)","94-2-0-2","DPA5 (HSMH 16)","Walsh","Senn",""
"HB 2395","#","Condominium conversion fee","H Comm Dev, Hous","","1/13/2016","McBride","","","","","McBride","Robinson",""
"HB 2396","","Homeless youth health care","H subst for","","2/15/2016","McBride","","","","DPS10 DNP3 (JUDI 16)","McBride","Caldier",""
"HB 2397","#","Housing demolitions fee","H Comm Dev, Hous","","1/13/2016","McBride","","","","","McBride","Robinson",""
"HB 2398","f#","Purchases/agencies for blind","C 40 L 16","","3/29/2016","Holy","","","47-0-0-2","DP5 (GOS 16)","Holy","Riccelli",""
"HB 2399","f#","Law enf./num. of citations","H Rules 3C","","3/10/2016","Holy","","","95-2-0-0","w/oRec7 (CL 16)","Holy","Appleton",""
"EHB 2400","f#","Steel slag from electric arc","C 165 L 16","","4/1/2016","Fitzgibbon","","","47-0-0-2","DP7 (EET 16)","Fitzgibbon","Tarleton",""
"HB 2401","f#","Visitation with adults","H Judiciary","","1/13/2016","Kochmar","","","","","Kochmar","Griffey",""
"HB 2402","","Relatives of incapacitated","H Judiciary","","1/13/2016","Kochmar","","","","","Kochmar","Griffey",""
"HB 2403","f","Down syndrome resources","C 70 L 16","","3/29/2016","Kochmar","","SB 6613(S Health Care)","47-0-0-2","DP12 (HLTH 16)","Kochmar","Senn",""
"HB 2404","f","Workplace pregnancy accom.","H Labor & Workpl","","1/13/2016","Kochmar","","","","","Kochmar","Stambaugh",""
"HB 2405","","Notices, records, & parties","H subst for","","2/11/2016","Muri","","","","DPS12 (JUDI 16)","Muri","Kilduff",""
"HB 2406","","Employment noncompetition","H Rules X","","2/26/2016","Manweller","","","","DP5 w/oRec1 (LAWS 16)","Manweller","Sells",""
"HB 2407","","Commercial rent control","H Local Govt","","1/13/2016","Manweller","","","","","Manweller","Magendanz",""
"HB 2408","f","Health insurance contracting","H Approps","","2/3/2016","Jinkins","","SB 6266(S Health Care)","","DPS12 (HCW 16)","Jinkins","Clibborn",""
"HB 2409","f","Special needs students","H Approps","","2/1/2016","Orwall","","","","DPS16 DNP2 w/oRec1 (ED 16)","Orwall","Santos",""
"HB 2410","f#","Firearm conviction database","H subst for","","2/15/2016","Hayes","","","","DPS12 (JUDI 16)","Hayes","Orwall",""
"HB 2411","","Rape of a child/marriage","H Public Safety","","1/13/2016","Hayes","","","","","Hayes","Orwall",""
"HB 2412","fe","Apple commission","H Rules X","","2/26/2016","Blake","","SB 6290(S subst for)","","DPS13 (AGNR 16)","Blake","Chandler",""
"HB 2413","f#","Aircraft registration","H subst for","","2/17/2016","Dent","","","","DPS23 (TR 16)","Dent","Tarleton",""
"HB 2414","f#","Bistate bridge project group","H Rules R","","2/5/2016","Wylie","","","","DPS24 (TR 16)","Wylie","Pike",""
