 , Total Compensation, Total Personal Expenses, Total Entertainment, Total Contributions, Total Advertising, Total Political Ads, Total Other Expenses, Totals
LOVE JUDY, 16500.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 16500.00
LUCE ANNE, 1814.43, 1267.72, 0.00, 0.00, 18000.00, 0.00, 0.00, 21082.15
LUCE TOM, 31500.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 31500.00
LYNCH MEGAN, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
LYNE WILLIAM, 1294.60, 4620.40, 0.00, 0.00, 0.00, 0.00, 0.00, 5915.00
M J DURKAN INC*, 301571.60, 0.00, 1267.04, 0.00, 0.00, 0.00, 0.00, 302707.64
MACEWAN PAM, 2100.00, 73.26, 0.00, 0.00, 0.00, 0.00, 0.00, 2173.26
MACFARLANE LISA, 538.46, 46.80, 0.00, 0.00, 0.00, 0.00, 0.00, 585.26
MACKLEY TREASURE, 93.66, 24.95, 0.00, 80000.00, 0.00, 0.00, 0.00, 80118.61
MACRAE BRUCE, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
MAGNANO ALLY, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
MAHER DENNIS, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
MAHER RENEE, 21000.00, 0.00, 280.00, 1600.00, 0.00, 0.00, 0.00, 22880.00
MAIER ROY, 618.00, 0.00, 0.00, 0.00, 0.00, 0.00, 2877.38, 3495.37
MAIN LESLIE, 3750.00, 24.50, 0.00, 0.00, 0.00, 0.00, 0.00, 3774.50
MAIN RONALD, 208999.44, 0.00, 259.16, 4000.00, 0.00, 51750.00, 0.00, 265008.60
MAJESKI QUINN, 6188.00, 2102.25, 12.00, 0.00, 0.00, 0.00, 0.00, 8302.25
MAKIN ROBERT, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
MALARKEY SUSANNAH, 8610.00, 341.59, 4689.34, 0.00, 0.00, 0.00, 0.00, 13640.93
MANN DAVID, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
MARKLEY GREG, 3629.17, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 3629.17
MARR CHRIS, 15000.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 15000.00
MARTIN JULIE, 3912.56, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 3912.56
MARTIN TIMOTHY, 31152.00, 0.00, 152.91, 5600.00, 0.00, 0.00, 0.00, 36904.91
MARTIN FLYNN PUBLIC AFFAIRS INC*, 307000.00, 1072.35, 1576.19, 4900.00, 0.00, 0.00, 0.00, 314565.97
MARTZ DEAN, 5016.00, 813.00, 0.00, 0.00, 0.00, 0.00, 0.00, 5829.00
MASAMITSU JOYCE, 0.00, 1074.35, 0.00, 0.00, 0.00, 0.00, 0.00, 1074.35
MASSE CHRISTINE, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
MASTEN GEORGE, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
MASTIN J DAVID, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
MASTIN & MASTIN PLLC*, 81000.00, 3528.57, 647.18, 0.00, 0.00, 0.00, 0.00, 85175.75
MATANZA ADRIAN, 13162.60, 6693.40, 0.00, 0.00, 0.00, 0.00, 168.66, 20024.66
MATSON LINDA, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
MATSON MIKE, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
MATSON TRENT, 30000.00, 0.00, 526.27, 0.00, 0.00, 0.00, 0.00, 30526.27
MATSON & ASSOC*, 51192.60, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 51192.60
MATTEUCCI JAMES, 24000.00, 0.00, 62.97, 3000.00, 0.00, 0.00, 0.00, 27062.97
MATTHEWS LLEWELLYN, 1104.00, 240.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1344.00
MATURI RICH, 798.73, 64.77, 0.00, 0.00, 0.00, 0.00, 0.00, 863.50
MAULDIN CHARLES, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
MAURER WILLIAM, 2632.92, 160.71, 0.00, 0.00, 0.00, 0.00, 0.00, 2793.63
MAUTE-GIBSON IRIS, 1400.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1400.00
MCALISTER BETSY, 189.40, 5.45, 0.00, 0.00, 0.00, 0.00, 0.00, 194.85
MCBRIDE THOMAS, 13022.81, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 13022.81
MCBRIDE PUBLIC AFFAIRS LLC*, 424959.76, 8882.98, 1817.17, 3600.00, 190.57, 0.00, 0.00, 439450.48
MCBROOM MAURIN, 13950.00, 2500.00, 0.00, 0.00, 0.00, 0.00, 0.00, 16450.00
MCCABE CHRISTIAN, 51841.25, 0.00, 537.83, 50.00, 0.00, 0.00, 0.00, 52429.08
MCCANN ERIN SHEA, 83.52, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 83.52
MCCOMB LEN, 518678.58, 17175.16, 0.00, 0.00, 0.00, 0.00, 0.00, 535853.74
MCDAID-O'NEILL TRISH, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
MCDONALD INGRID, 38522.00, 3667.00, 5291.55, 0.00, 0.00, 0.00, 0.00, 47480.55
MCDONALD JOSH, 30000.00, 366.66, 82.84, 196.50, 0.00, 0.00, 0.00, 30646.00
MCDONALD PHILIP, 24000.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 24000.00
MCELDERRY ROBERT, 10685.00, 7927.82, 20.00, 0.00, 0.00, 0.00, 0.00, 18632.82
MCGAFFICK GAIL TORAASON, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
MCGIFFERT ELIZABETH, 10.23, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 10.23
MCGRADY DAN, 24000.00, 0.00, 44.93, 64250.00, 0.00, 0.00, 0.00, 88294.93
MCGRATH ANNE, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
MCHARNESS DENNIS, 1592.00, 608.00, 349.30, 0.00, 0.00, 0.00, 0.00, 2549.30
MCKAGUE JEANETTE, 54000.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 54000.00
MCKENZIE JENNA, 1200.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1200.00
MCKILLIP LARRY, 7083.25, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 7083.25
MCKINLEY-CAMP TONI, 18000.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 18000.00
MCMAHAN JAMES, 11942.45, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 11942.45
MCMURRAN LEWIS, 46800.00, 5274.64, 2073.09, 0.00, 0.00, 0.00, 0.00, 54147.73
MCRAE JACK, 31491.69, 296.35, 6173.88, 163780.15, 0.00, 0.00, 72167.18, 273909.25
MCSHERRY WILLIAM, 109592.00, 27.00, 3989.02, 0.00, 0.00, 0.00, 0.00, 113608.02
MEADOWS JAMES, 4329.07, 1736.72, 0.00, 0.00, 0.00, 0.00, 0.00, 6065.79
MELANIE STEWART & ASSOC LLC*, 387327.63, 0.00, 1028.15, 0.00, 0.00, 0.00, 14250.00, 402605.78
MELE SUELLEN, 1976.40, 0.00, 0.00, 0.00, 0.00, 0.00, 10.80, 1987.20
MENZIES ELEANOR, 88692.43, 884.23, 181.93, 0.00, 0.00, 0.00, 4600.00, 94358.59
MERLIN ADVOCATES LLC*, 68138.00, 3408.00, 0.00, 0.00, 0.00, 0.00, 0.00, 71656.00
MERRIMAN SCOTT, 8020.80, 0.00, 1105.38, 0.00, 0.00, 0.00, 0.00, 9126.18
MICHAEL SARAH, 2648.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 2648.00
MICHAELSEN JANET, 199.22, 54.60, 0.00, 0.00, 0.00, 0.00, 0.00, 253.82
MICHENER DAVID, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
MILES NATE, 18000.00, 12383.74, 489.20, 29800.00, 0.00, 0.00, 0.00, 60672.94
MILLENNIA PUBLIC AFFAIRS INC*, 448812.63, 0.00, 2307.35, 3100.00, 0.00, 0.00, 0.00, 454250.98
MILLER ADRIAN, 2650.00, 0.00, 0.00, 2900.00, 0.00, 0.00, 0.00, 5550.00
MILLER ALLEN, 1000.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1000.00
MILLER MICHELE, 858.23, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 858.23
MILLER RICH, 63157.00, 0.00, 10064.99, 11200.00, 106.25, 0.00, 305130.18, 389658.42
MILLER STEPHEN, 490.96, 0.00, 0.00, 0.00, 0.00, 0.00, 254.66, 745.62
MILLER MALONE & TELLEFSON PS*, 439524.30, 401.31, 4214.82, 21400.00, 0.00, 0.00, 0.00, 465540.43
MILLER NASH LLP*, 176517.80, 1725.64, 0.00, 0.00, 0.00, 0.00, 0.00, 178243.44
MILO YORAM, 1310.62, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1310.62
MINICKIELLO MARK, 13000.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 13000.00
MINNICH BRIAN, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
MITCHELL ROBERT, 45500.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 45500.00
MIZRAHI JOSEPH, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
MJB CONSULTING*, 185825.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 185825.00
MOATS EDWIN, 906.25, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 906.25
MOONEY SHELBY, 241.01, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 241.01
MORAN CLARE, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
MORAN HILARY, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
MORAN MICHAEL, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
MORAN PUBLIC AFFAIRS LLC*, 119500.00, 0.00, 0.00, 4000.00, 0.00, 0.00, 0.00, 123500.00
MOREHOUSE LANCE, 589.97, 165.36, 0.00, 0.00, 0.00, 0.00, 0.00, 755.33
MORITZ STEFAN, 1978.00, 1297.12, 0.00, 0.00, 0.00, 0.00, 0.00, 3275.12
MORRIS CAREY, 122241.16, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 122241.16
MORRIS DAN, 789.75, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 789.75
MORSE KEN, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
MOSQUEDA TERESA, 36819.84, 100.00, 618.09, 0.00, 0.00, 0.00, 0.00, 37537.93
MSG CONSULTING LLC*, 19358.25, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 19358.25
MULLIN STEPHEN, 11523.00, 0.00, 9432.15, 0.00, 0.00, 0.00, 0.00, 20955.15
MUNGUIA DEBORA, 34800.00, 0.00, 0.00, 27000.00, 0.00, 0.00, 0.00, 61800.00
MUNRO RALPH, 9100.00, 3301.59, 3039.00, 0.00, 0.00, 0.00, 0.00, 15418.29
MURPHY ABBY, 7000.00, 740.48, 0.00, 2650.00, 0.00, 0.00, 0.00, 10390.48
MURPHY DEBORAH, 51152.04, 0.00, 0.00, 0.00, 0.00, 0.00, 60726.67, 111878.71
MYERS DAVID, 8280.00, 0.00, 0.00, 25000.00, 0.00, 0.00, 0.00, 33280.00
MYERS DOUGLAS, 1597.00, 323.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1920.00
NAGEL SHAYNE, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
NARAYAN SHANKAR, 70158.20, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 70158.20
NAZZAL PETER, 192.85, 180.14, 0.00, 0.00, 0.00, 0.00, 0.00, 355.35
NEAS BRUCE, 12819.58, 0.00, 0.00, 0.00, 0.00, 0.00, 354.70, 13174.25
NELSEN MARIE, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
NELSON CARL, 86725.00, 14490.75, 3577.03, 0.00, 0.00, 0.00, 0.00, 104792.78
NELSON DOUGLAS, 107969.97, 6947.65, 223.78, 10000.00, 0.00, 0.00, 0.00, 125141.40
NELSON GRANT, 79627.02, 0.00, 1525.88, 0.00, 0.00, 0.00, 0.00, 81152.90
NELSON SCOTT, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
NEWBRY RONALD, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
NEXUS GROUP*, 232999.92, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 232999.92
NICHOLS JULIE, 3000.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 3000.00
NIELSEN PAUL, 25430.00, 6298.00, 649.41, 5500.00, 0.00, 0.00, 0.00, 37877.41
NIST JEAN, 1145.28, 545.79, 0.00, 0.00, 70.92, 0.00, 0.00, 1761.99
NONEMACHER DARCY, 1550.00, 2228.34, 0.00, 0.00, 0.00, 0.00, 0.00, 3778.34
NURSE BRUCE, 38500.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 38500.00
O'BRIEN AL, 500.00, 40.03, 0.00, 0.00, 0.00, 0.00, 0.00, 540.03
O'CALLAHAN JOHN, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
O'SULLIVAN SEAN, 31142.73, 2050.00, 272.35, 0.00, 0.00, 0.00, 0.00, 33465.08
OKAMOTO JOHN, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
OKAZAKI MARK, 2515.56, 263.96, 0.00, 0.00, 0.00, 0.00, 0.00, 2779.52
OLESON MELVIN, 12108.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 12108.00
OLIVERI VINCE, 100992.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 100992.00
OLSON JOHN, 5500.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 5500.00
ONDRACEK KATRINA, 5609.00, 826.62, 95.00, 0.00, 0.00, 0.00, 0.00, 6530.62
ORVELLA CHELSEA, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
OSBORNE GREGG, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
OVERSTREET DAVID, 1199.58, 199.92, 341.89, 3600.00, 0.00, 0.00, 0.00, 5341.39
OWENS ED, 17500.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 17500.00
OWENS JUDITH, 242.80, 100.80, 0.00, 0.00, 0.00, 0.00, 0.00, 343.60
PALMBERG CHRISTA, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
PAM CRONE LEGISLATIVE CONSULTING SVCS*, 90402.40, 250.00, 0.00, 0.00, 0.00, 0.00, 11050.00, 101702.40
PARK SHARON, 1050.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1050.00
PARKER GREG, 627.20, 3.57, 0.00, 0.00, 0.00, 0.00, 0.00, 630.77
PARKER THOMAS, 466970.04, 3431.74, 3056.77, 0.00, 0.00, 0.00, 0.00, 473458.55
PARKISON DIANA, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
PARKS KYLIN, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
PARR RANDALL, 62620.96, 951.94, 0.00, 0.00, 0.00, 0.00, 0.00, 63572.90
PARSONS DAVID, 14995.20, 4487.49, 0.00, 0.00, 0.00, 0.00, 0.00, 19482.69
PATRICK DUNN & ASSOCIATES LTD*, 114000.00, 0.00, 1005.16, 29360.00, 0.00, 0.00, 0.00, 144341.59
PAUL DANIEL, 554.00, 226.50, 0.00, 0.00, 0.00, 0.00, 0.00, 780.50
PEARSON MARY LOU, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
PEREZ-GIBSON MIGUEL, 117875.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 117875.00
PERNA ROBERT, 5966.40, 287.00, 0.00, 0.00, 0.00, 0.00, 0.00, 6253.40
PERRICK THOMAS, 14203.87, 310.08, 0.00, 0.00, 0.00, 0.00, 0.00, 14513.95
PERSON MATTHEW, 850.00, 1669.83, 0.00, 0.00, 0.00, 0.00, 0.00, 2519.83
PETERSEN JEANETTE, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
PETERSEN SUZANNE, 3610.00, 0.00, 634.55, 0.00, 0.00, 0.00, 0.00, 4244.55
PETERSON LAURA, 120445.00, 0.00, 540.00, 202920.00, 0.00, 0.00, 0.00, 323905.00
PETERSON SUSAN, 0.00, 0.00, 542.16, 0.00, 0.00, 0.00, 2022.04, 2564.20
PETRO DOUGLAS, 1354.73, 155.34, 0.00, 0.00, 0.00, 0.00, 2643.15, 4153.22
PHIL WATKINS PUBLIC AFFAIRS INC*, 130762.90, 2883.41, 376.71, 0.00, 0.00, 0.00, 0.00, 133951.37
PHOENIX ASSOC PUBLIC AFFAIRS LLC*, 69975.00, 1539.62, 37.61, 0.00, 217.48, 0.00, 0.00, 71769.71
PIAZZA ANNE, 0.00, 0.00, 1078.09, 0.00, 0.00, 0.00, 10489.00, 11567.09
PIERCE DON, 14362.77, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 14362.77
PIERCE GREGORY, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
PIERCE CONSULTING SVCS LLC*, 317000.00, 1941.60, 13791.51, 59600.00, 0.00, 0.00, 0.00, 392323.11
PLACK SCOTT, 10200.00, 230.15, 276.45, 200.00, 0.00, 0.00, 0.00, 10906.60
PLATT LAUREN, 1109.20, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1109.20
PLAUCHE SAMUEL, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
PLAUCHE & STOCK LLP*, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
PLOTKIN NORMAN, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
PLS-WA PLLC*, 25000.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 25000.00
POLICY SOLUTIONS*, 1156.25, 105.81, 0.00, 0.00, 0.00, 0.00, 50.00, 1312.06
POLLACK SUSAN, 11000.00, 1560.08, 0.00, 0.00, 0.00, 17.60, 0.00, 12577.68
POTTS JAMES, 47100.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 47100.00
POULSEN ERIK, 48100.00, 226.00, 13204.00, 0.00, 0.00, 0.00, 0.00, 61530.00
POWELL DAVID, 3052.29, 1201.31, 0.00, 0.00, 0.00, 0.00, 0.00, 4253.60
PRICCO RYAN, 16656.98, 2283.96, 0.00, 0.00, 0.00, 0.00, 0.00, 18940.94
PRINCIPLED SOLUTIONS*, 220500.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 220500.00
PROBART T ASHLEY, 3164.74, 0.00, 183.64, 0.00, 0.00, 0.00, 0.00, 3348.38
PROVENZANO GREGORY, 998.26, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 998.26
PROVINCE LORI, 2652.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 2652.00
PUBLIC AFFAIRS OF WA LLC*, 305370.76, 25412.32, 186.07, 0.00, 0.00, 0.00, 0.00, 330969.15
PURSLEY LARRY, 35000.04, 0.00, 4526.43, 0.00, 0.00, 0.00, 0.00, 39526.47
PUTMAN MARCY, 103.55, 58.60, 0.00, 0.00, 0.00, 0.00, 0.00, 161.25
PUTNEY APRIL, 28641.15, 1249.33, 177.54, 7880.95, 0.00, 0.00, 0.00, 37948.97
QUACKENBUSH TARA, 2822.56, 0.00, 0.00, 2500.00, 0.00, 0.00, 7165.70, 12488.26
RADER-KONOFALSKI WENDY, 95341.86, 4182.59, 84.32, 0.00, 0.00, 0.00, 0.00, 99155.69
RAGAN MIKE, 1603.47, 0.00, 0.00, 1565.88, 0.00, 48.59, 0.00, 3217.94
RAIHL THEODORE, 307.33, 0.00, 0.00, 24.75, 2.25, 0.00, 1633.60, 1968.20
RAKOW DIANA BIRKETT, 2531.25, 97.38, 0.00, 0.00, 0.00, 0.00, 0.00, 2628.63
RALSTON ALAN, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
RANDALL ANN, 3703.61, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 3703.61
RASH DON, 784.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 784.00
RAY JANET, 800.00, 35.00, 0.00, 5000.00, 0.00, 0.00, 0.00, 5835.00
RAY RANDALL, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
RAYMOND TIM, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
REAMAN DARREN, 311.31, 0.00, 0.00, 0.00, 30.47, 0.00, 0.00, 341.78
REANDEAU NOAH, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
REAVES LEE, 126613.00, 28239.61, 1391.99, 0.00, 0.00, 0.00, 0.00, 156244.60
REESE SHIRLEY, 49972.78, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 49972.78
REEVES BRUCE, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
REEVES LEE, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
REGAN JAMES, 18409.74, 2813.27, 4470.92, 7284.94, 0.00, 88500.00, 212120.01, 333718.88
REILLY GERALD, 66500.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 66500.00
REVELLE RANDY, 125550.00, 2713.54, 2409.20, 34800.00, 0.00, 0.00, 0.00, 165472.74
REYNOLDS MELANIE, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
RICHARDS JIM, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
RICHER ELIZABETH, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
ROB MAKIN CONSULTING*, 287799.00, 1551.14, 14682.67, 128362.42, 0.00, 0.00, 0.00, 419294.23
ROBERTO SONDRA, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
ROBINSON STEVE, 20000.00, 115.00, 0.00, 0.00, 0.00, 0.00, 0.00, 20115.00
ROBINSON WILLIAM, 29992.00, 1642.15, 430.05, 0.00, 0.00, 0.00, 0.00, 32064.20
ROGERS EMILY, 2400.00, 0.00, 0.00, 0.00, 300.00, 0.00, 0.00, 2700.00
ROGERS KRISTEN, 1150.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1150.00
ROJECKI KEVEN, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
ROSENBLUM JONATHAN, 4077.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 4077.00
ROSIER PAUL, 21600.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 21600.00
ROSS SAMUEL, 11350.00, 1385.00, 0.00, 0.00, 0.00, 0.00, 0.00, 12735.00
ROSS STEVEN, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
ROUSE MARTY, 1346.06, 719.80, 11.26, 33602.31, 0.00, 0.00, 2500.00, 38179.43
ROWE GARY, 2595.15, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 2595.15
ROWLAND JAMES, 159764.19, 0.00, 0.00, 0.00, 0.00, 0.00, 49563.50, 203973.19
RYAN LOUISE, 9439.15, 2475.10, 0.00, 0.00, 0.00, 0.00, 0.00, 11914.25
RYHERD MAJKEN, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
SALINS CRAIG, 1155.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1155.00
SANDERS CLAUDIA, 8360.00, 200.00, 0.00, 0.00, 0.00, 0.00, 66.25, 8626.25
SANTIVIAGO SERGIO, 680.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 680.00
SAPIRO NANCY, 27000.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 27000.00
SAUER CASSIE, 5050.00, 90.00, 276.00, 55275.00, 0.00, 105721.73, 0.00, 166412.73
SAWIN KRISTEN, 2392.67, 0.00, 273.38, 25500.00, 0.00, 0.00, 0.00, 28166.05
SCAROLA GEORGE, 22892.53, 5538.60, 451.55, 100.00, 0.00, 0.00, 0.00, 28982.68
SCHAEFER BEVERLY, 423.61, 3321.45, 0.00, 0.00, 0.00, 873.00, 0.00, 4618.06
SCHAUB G S DUKE, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
SCHEIDERER GREGORY, 19166.66, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 19166.66
SCHELLBERG TIMOTHY, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
SCHLATTER GENE, 9000.00, 0.00, 95.89, 0.00, 0.00, 0.00, 0.00, 9095.89
SCHLATTER JOHN, 30000.00, 0.00, 4024.15, 13857.86, 0.00, 0.00, 0.00, 47882.01
SCHMITT ANDREA, 530.66, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 530.66
SCHRADER MEGAN, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
SCHROEDER CARL, 550.78, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 550.78
SCHROEDER SANDRA, 599.14, 892.61, 0.00, 0.00, 0.00, 0.00, 0.00, 1492.25
SCHWARTZ ROBERT, 81000.00, 2704.65, 1087.99, 346.00, 0.00, 0.00, 0.00, 85138.64
SCHWISOW MICHAEL, 105515.00, 400.50, 0.00, 0.00, 0.00, 0.00, 0.00, 105915.50
SCOTT RANDY, 16335.20, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 16335.20
SCOTT WILLIAM, 16000.00, 624.18, 3100.50, 0.00, 97.18, 0.00, 0.00, 19821.86
SEFFERNICK AUBREY, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
SELLS JILL, 1638.14, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1638.14
SEPICH JAYANN, 220.00, 962.44, 0.00, 0.00, 4.50, 0.00, 0.00, 1186.94
SHANNON ERIN, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
SHANNON LARRY, 120500.00, 7166.33, 0.00, 250.00, 0.00, 0.00, 7200.00, 103293.33
SHANNON MARY JO, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
SHAW MICHAEL, 97600.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 97600.00
SHEARER RUTH, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
SHERMAN ADAM, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
SHOBE ALICE, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
SHOEMAKE JAMES, 57500.00, 1555.69, 0.00, 0.00, 0.00, 0.00, 0.00, 59055.69
